Id,RoleInTerritory2,CreatedDate,IsActive,Territory2Id,UserId
0R0Y6QYROZ6hcIiCDL,Member,2024-04-04T22:05:38Z,1,0MIkKpdWPyI8bzvOT2,005LSah1u1GnYGbYOG
0R0sw76CUWKeAkOKT5,Manager,2026-02-17T08:25:34Z,1,0MICqLzuYbs6nnLOCB,005uepIIzxcmHrDI1O
0R0CGlbcUV9EljOC2M,Manager,2024-10-15T18:59:57Z,1,0MI0gQqg49w1KHlGWP,005pAoa72XGI02qYGZ
0R0QxzCaBfEDBDjCK8,Manager,2025-02-17T12:17:59Z,1,0MIQn6uAa6LyrpmGIH,005hTpAX3O60UK0AAJ
0R0nFMkop2Pi0dZKGB,Manager,2026-04-11T03:23:49Z,0,0MIl7AqSJ4kdopu43S,005k3rdmx8LrOE0AIT
0R0fC5VjipaQs6QS7X,Member,2022-05-06T20:34:47Z,1,0MIl7AqSJ4kdopu43S,005mKVeNm7pzbbYYYT
0R0Xi3tdS82dTvvK5Y,Member,2023-05-02T18:59:40Z,0,0MI9TCkBhHzAlSY4ZB,0055EGfQDBgoAh8IFH
0R0LznhVNLQhwxNKFA,Member,2025-08-10T11:38:20Z,1,0MIzC1NVIBnZH17O31,005hp0uS7WWG0emI9I
0R04r3PIEp4HtdAC6Y,Manager,2024-09-30T16:32:38Z,1,0MI9TCkBhHzAlSY4ZB,005dxKTxH6gxu99IEO
0R0hJBUxObgDcdfC8L,Member,2022-08-22T23:54:56Z,1,0MI0gQqg49w1KHlGWP,005YLX0oRwAflvAQZO
0R0qaEpWgIxy5OdS82,Manager,2021-04-27T03:10:08Z,1,0MImLHdZ8TzTCCpG37,005IKQxHrnOfGBxYIU
0R06E5EPemALNhe03D,Manager,2021-12-04T02:49:33Z,1,0MIhFynwfbVXs9dGVQ,0057pBBoeyfvmpBIQ5
0R0U7tJbThKa4xoC0K,Manager,2023-03-24T18:52:33Z,1,0MIkKpdWPyI8bzvOT2,005X9VIRE3gtc1zYMH
0R02PeRvUm0BQIo025,Manager,2023-05-17T05:40:17Z,1,0MIhFynwfbVXs9dGVQ,005hp0uS7WWG0emI9I
0R0W1hyO3squ4XnCMG,Member,2026-03-04T07:38:07Z,1,0MIkKpdWPyI8bzvOT2,005MO6uee3FgSiDAVG
0R0AFqe5PkO0X2UK8O,Member,2024-06-04T21:48:02Z,1,0MIzC1NVIBnZH17O31,005BCXqjz5iaMXwQAL
0R08N5f6THoHXYNS3X,Manager,2022-10-05T07:42:02Z,0,0MIJkNu03tSUxmjGSK,0055EGfQDBgoAh8IFH
0R0jZqvHseaODXO0HF,Manager,2024-06-20T23:51:15Z,1,0MIyjKppR3FZep6ORD,005yrzZ2QLuB1ZZYH4
0R07sn5QTgYjjrQCCP,Manager,2023-04-26T02:13:14Z,1,0MIl7AqSJ4kdopu43S,0051j8xdsf40yysQI6
0R0OYnHCz0NhiIc0YA,Manager,2022-04-03T23:18:31Z,1,0MIVpi3uiBlDpWQGEO,005ftlxDfFrLcpCQHP
0R0CB5Nb3mB0cKDCSE,Member,2025-08-26T13:46:51Z,1,0MI0gQqg49w1KHlGWP,0051j8xdsf40yysQI6
0R0by1u3MC3iHPe0JL,Manager,2025-06-27T16:35:24Z,1,0MIpee9LC2z1Et8OTC,005pFLSqKe2EKv0Q0O
0R0t84mRPif0GriS90,Member,2023-01-02T09:18:34Z,1,0MIhFynwfbVXs9dGVQ,0059cNiXLcpBkagI2J
0R0bdufSPwFQHbCCX9,Manager,2021-03-28T16:15:23Z,1,0MIVpi3uiBlDpWQGEO,005dxKTxH6gxu99IEO
0R0ne2s9nfJwdYhK5B,Member,2025-02-06T07:32:36Z,1,0MI0gQqg49w1KHlGWP,005i8c7j8gCtwTfYQW
0R0tX90LdB1UedZ0UZ,Member,2021-07-11T22:25:55Z,0,0MIzC1NVIBnZH17O31,005ZSIqbJ44gxISAD6
0R0u9o8G8g2Pu570YG,Manager,2021-10-28T15:38:43Z,0,0MI0gQqg49w1KHlGWP,005hfmtBm0piYtTY6K
0R0eTJWNDNc04SsCSZ,Manager,2022-11-20T18:29:06Z,1,0MIyjKppR3FZep6ORD,005lJuJ789IRmEmQF4
0R0THp2FRg5hWPqSMJ,Member,2026-02-26T08:33:54Z,1,0MIzC1NVIBnZH17O31,005pFLSqKe2EKv0Q0O
0R02ky10YYDRSsiSJT,Manager,2021-02-22T03:45:23Z,1,0MI0gQqg49w1KHlGWP,005gMY3fFnSvHOzQLX
0R0njBPqHyDm5ZvK3B,Member,2024-01-11T01:05:22Z,1,0MI9TCkBhHzAlSY4ZB,005wmbTnVpYGoJ1AGI
0R06UsjPYrufMAtKO5,Member,2024-09-02T01:54:13Z,1,0MIJkNu03tSUxmjGSK,0057ufaHufy75ktAX1
0R0YcKd8xW1JSJs08R,Manager,2022-06-22T08:31:52Z,1,0MIl7AqSJ4kdopu43S,005xwhqeeWgm4agYMN
0R0qEXnX4TOHcV2CAA,Member,2024-10-04T03:35:05Z,1,0MIyjKppR3FZep6ORD,005qptAZodwwrZzYUF
0R0ybhkLxIZu9tlCH7,Member,2023-06-08T02:55:41Z,1,0MIQn6uAa6LyrpmGIH,005sAEUaULAzZRzQYB
0R0RiiQujLTB0rYKF5,Member,2021-05-18T23:54:29Z,1,0MICqLzuYbs6nnLOCB,005lkwCvvs1NKzQIH0
0R0NKHMpsFE0fAESQX,Member,2024-03-26T22:25:08Z,1,0MIkKpdWPyI8bzvOT2,005TIJckr7dVcDJQZF
0R0bz80Fj2w0PLAKYR,Manager,2023-04-04T19:26:47Z,0,0MIzC1NVIBnZH17O31,005TU4vqRu98dHsY03
0R0P7oWnkz00imQC9N,Member,2026-01-17T17:18:59Z,1,0MIpee9LC2z1Et8OTC,0059B3E38iAWjGzQHX
0R0JONM1awKor1zSDL,Member,2024-01-10T23:24:37Z,1,0MIQn6uAa6LyrpmGIH,005mKVeNm7pzbbYYYT
0R0UJThCuGbnWRJS7U,Member,2023-11-30T18:46:00Z,1,0MIhFynwfbVXs9dGVQ,005VOHFbnLYK0gIIP7
0R0rhHhgBk5JKq7KIL,Manager,2026-06-06T15:18:34Z,1,0MI9TCkBhHzAlSY4ZB,005qHMyq30JstsGA5N
0R0X1B6ug27UyBwSUG,Manager,2024-11-24T12:33:21Z,1,0MIyjKppR3FZep6ORD,005hvPRYHDjoBLOQ3X
0R0dzZTqDdjtK1RK90,Member,2025-05-18T09:54:21Z,1,0MIyjKppR3FZep6ORD,005vjh2ZrIRqrgrI2H
0R0GDIlgSGNRGQGSJ7,Member,2024-01-05T04:40:57Z,1,0MIhFynwfbVXs9dGVQ,005W8vdEbVdzOCdA62
0R0C6N6Z6wXWMLY0FT,Member,2025-06-29T13:49:47Z,1,0MIyjKppR3FZep6ORD,005dxKTxH6gxu99IEO
0R0vEbvzF1VD7bTSSO,Member,2024-05-14T09:12:56Z,1,0MI0gQqg49w1KHlGWP,005dxKTxH6gxu99IEO
0R0fgW0xmAzX9o2SI1,Member,2025-07-15T13:31:08Z,1,0MIl7AqSJ4kdopu43S,005Nr8mKUnQ3oinATY
0R0xZlngXB6NnSrCZ4,Manager,2023-08-14T17:42:40Z,1,0MIkKpdWPyI8bzvOT2,005qptAZodwwrZzYUF
0R01hh2dyRh3FrUKUK,Manager,2024-10-28T06:36:08Z,1,0MIhFynwfbVXs9dGVQ,005lkwCvvs1NKzQIH0
0R0biLtcz8pgLjpS3G,Manager,2025-03-02T04:42:18Z,1,0MIVpi3uiBlDpWQGEO,0058ltZKG17vpJbQJK
0R07hpvr2Ze8hKaSSE,Manager,2021-12-11T11:42:28Z,0,0MICqLzuYbs6nnLOCB,005dxKTxH6gxu99IEO
0R0YM70EwNh1QpFCQ5,Member,2022-06-15T13:45:45Z,1,0MIpee9LC2z1Et8OTC,0056Go3C6Dl0bjnQEY
0R0exgjo1l70cZFCIQ,Member,2021-06-24T01:43:26Z,0,0MIl7AqSJ4kdopu43S,005IKQxHrnOfGBxYIU
0R0PulpvWrPFhYVKHZ,Manager,2025-09-22T18:43:31Z,1,0MI9TCkBhHzAlSY4ZB,005yqybzTtVK8u6IOR
0R0pFAwQeE81CgzCHO,Manager,2021-02-10T03:59:23Z,1,0MImLHdZ8TzTCCpG37,005RHpTOWiLP3HTIID
0R0gJwwLN8nDNdvS1X,Manager,2022-03-03T00:03:08Z,1,0MIl7AqSJ4kdopu43S,005dxKTxH6gxu99IEO
0R0noGQ4wxi25sISMO,Member,2025-11-25T15:13:20Z,1,0MIyjKppR3FZep6ORD,005Me1PVqqNBxKJYQP
0R09ugJre2r9vHq0V7,Manager,2022-05-15T21:57:01Z,1,0MIVpi3uiBlDpWQGEO,0059B3E38iAWjGzQHX
0R0wxrNTROVfZQlCRA,Manager,2024-06-28T21:59:19Z,1,0MICqLzuYbs6nnLOCB,005sAEUaULAzZRzQYB
0R0I73hK40g8UdjKR2,Member,2024-04-08T18:40:51Z,1,0MIQn6uAa6LyrpmGIH,005i8c7j8gCtwTfYQW
0R090IhfsWrOcksCDW,Member,2023-06-14T08:14:58Z,1,0MICqLzuYbs6nnLOCB,0057ufaHufy75ktAX1
0R0s97fu2byWbU30QD,Manager,2022-01-17T16:31:04Z,0,0MIkKpdWPyI8bzvOT2,005QCiUGxJnyyOsY12
0R0ci9FixAbw4avSIY,Member,2025-07-26T07:47:19Z,0,0MIhFynwfbVXs9dGVQ,005dxKTxH6gxu99IEO
0R0OAtAALy4qWeKC8H,Member,2021-11-12T14:29:30Z,1,0MIQn6uAa6LyrpmGIH,005si8rNhwYkQikIOL
0R0FJ7MqcS9MmL90LV,Member,2025-03-27T19:07:14Z,1,0MIl7AqSJ4kdopu43S,005lGkJeYS6wczpY2Q
0R0zzjaOZpq5W4qSPP,Manager,2023-10-10T15:37:32Z,0,0MIkKpdWPyI8bzvOT2,0056BILiQX0m1w8QY3
0R0pZHuMCm2ouiP050,Manager,2025-02-13T15:44:30Z,1,0MIpee9LC2z1Et8OTC,005IKQxHrnOfGBxYIU
0R0MFoP2K3tGXMT0H3,Manager,2022-03-23T12:37:10Z,1,0MIpee9LC2z1Et8OTC,005dxKTxH6gxu99IEO
0R0Ne62QWgJEsn50DU,Member,2025-08-13T19:34:59Z,1,0MIkKpdWPyI8bzvOT2,005NNPdRteBuQ8BA3A
0R0c11f5U6nUzU4061,Manager,2022-01-31T20:33:15Z,0,0MIQn6uAa6LyrpmGIH,005Vo9gpxbtHjOOIMV
0R0LNzw9mOUFptX0FA,Manager,2025-02-22T09:01:38Z,1,0MIVpi3uiBlDpWQGEO,005lkwCvvs1NKzQIH0
0R0yuL3L2aWvcxEKL7,Member,2023-04-20T01:31:37Z,1,0MImLHdZ8TzTCCpG37,005lkwCvvs1NKzQIH0
0R0gR7te8uAdVOzKJJ,Manager,2024-10-06T16:31:22Z,1,0MIJkNu03tSUxmjGSK,005IQVOfUcHEUsnYPL
0R0sqEb87eqGZg70XA,Manager,2026-04-09T14:00:02Z,1,0MI9TCkBhHzAlSY4ZB,005uepIIzxcmHrDI1O
0R0OBxZPdW3C2d7SL8,Member,2023-08-31T04:22:43Z,0,0MIpee9LC2z1Et8OTC,005jW0WkCs1awbUYLA
0R053NZHLibtdGAS73,Member,2021-09-06T17:23:02Z,1,0MICqLzuYbs6nnLOCB,005gMY3fFnSvHOzQLX
0R0g9WVZN8NR30lSMA,Manager,2023-08-05T10:28:44Z,1,0MIVpi3uiBlDpWQGEO,005BLrN0FAgafzHY2K
0R07LVUdytKerR7KHW,Manager,2023-10-12T15:21:51Z,0,0MIkKpdWPyI8bzvOT2,005W8vdEbVdzOCdA62
0R0dCQtBP5USLLNKCE,Member,2023-04-02T05:33:52Z,1,0MIVpi3uiBlDpWQGEO,005mKVeNm7pzbbYYYT
0R0ERwiAD7JxJvzKG8,Member,2024-01-09T08:19:00Z,1,0MIJkNu03tSUxmjGSK,005LSah1u1GnYGbYOG
0R069KoitQ1wnkoKXK,Manager,2021-05-20T04:21:46Z,1,0MIl7AqSJ4kdopu43S,005NNPdRteBuQ8BA3A
0R0cc5IXvS2RJSH071,Member,2026-05-16T12:55:52Z,1,0MI9TCkBhHzAlSY4ZB,005QCiUGxJnyyOsY12
0R0lyvHpVbE8TNi077,Manager,2024-07-10T20:11:11Z,1,0MIQn6uAa6LyrpmGIH,005YbujEVi8pPHuINT
0R02MRysZsALzxLCNW,Member,2021-06-02T06:56:10Z,1,0MIl7AqSJ4kdopu43S,0059cNiXLcpBkagI2J
0R0CJKLAZUgtE7cSXR,Member,2023-01-29T23:23:42Z,1,0MIhFynwfbVXs9dGVQ,005RuPGFXVl50YyAI2
0R0xaLaIERWLc1iSZI,Manager,2025-02-09T11:04:35Z,1,0MI9TCkBhHzAlSY4ZB,005k3rdmx8LrOE0AIT
0R0F9GOtU6Hto7E0LW,Manager,2022-05-27T19:18:50Z,1,0MITSyz0OmeEL3W47W,005qOi29J2o9pHYYCI
0R0NjTfsu8tf7Ui0GA,Member,2025-02-27T15:23:06Z,1,0MIJkNu03tSUxmjGSK,005dxKTxH6gxu99IEO
0R0CsYQUGQAVoCZSEL,Member,2026-05-17T02:15:13Z,1,0MI0gQqg49w1KHlGWP,005TU4vqRu98dHsY03
0R0twsGt3FIiIR8KRG,Manager,2024-05-05T23:21:06Z,1,0MIyjKppR3FZep6ORD,0056Go3C6Dl0bjnQEY
0R0mZ3plIwEufGIK6U,Member,2024-05-18T01:54:07Z,1,0MIJkNu03tSUxmjGSK,0057jDImegCGqG7YZ2
0R0EgEnJC5aEYAcCUI,Manager,2022-10-12T10:03:23Z,1,0MI9W71ergxUCFa442,0057pBBoeyfvmpBIQ5
0R0q3UsMKdIDRhE0P5,Manager,2024-08-10T04:37:23Z,1,0MI9TCkBhHzAlSY4ZB,0056kxsLcWcZ0y6Y1M
0R062ecktEht83hKX2,Manager,2022-02-25T12:08:22Z,1,0MI9TCkBhHzAlSY4ZB,005qptAZodwwrZzYUF
0R0k12uElVyqeCp03I,Manager,2024-09-05T15:42:35Z,1,0MIQn6uAa6LyrpmGIH,005pAoa72XGI02qYGZ
0R0KG04puOrAb6cSNI,Member,2024-11-18T15:30:29Z,1,0MIpee9LC2z1Et8OTC,0057jDImegCGqG7YZ2
0R0NAamr0qw5yXuCBP,Manager,2022-03-26T16:03:25Z,1,0MIzC1NVIBnZH17O31,005qOi29J2o9pHYYCI
