Id,OrderNumber,Status,EffectiveDate,EndDate,Type,BillingStreet,BillingCity,BillingState,BillingPostalCode,BillingCountry,ShippingStreet,ShippingCity,ShippingState,ShippingPostalCode,ShippingCountry,CurrencyIsoCode,Description,CreatedDate,TotalAmount,AccountId,BillToContactId,ContractId,OpportunityId,Pricebook2Id,QuoteId,ShipToContactId
026bP5aoRYukgxlY0X,ORD-000000011,Fulfilled,2021-06-25,2024-06-24,Amendment,280 Aguilar Drive,Cedar Crossing,CO,47361,United States,760 Lewis Expressway,Lake Briar,CA,96912,United States,USD,Synthetic order for test and benchmark use.,2021-04-29T03:24:40Z,716430.14,0014BI0PTpGJAb4ICJ,003KTlnkKDUBqWVAAT,800nEzeWjRDTX6SYUM,006EDgmq5nsA2r7A84,01sQ4LtuJF9K1vlMFT,,003HBITmsdDovLfYDZ
801lKo78Mw36SVTY8A,ORD-000000012,Fulfilled,2021-12-24,2022-12-24,Renewal,73375 Hoover Well,Alder Bay,WA,95222,United States,5430 White Crossing,Northhaven,MA,58000,United States,USD,Synthetic order for test and benchmark use.,2021-12-02T20:54:59Z,2753905.74,001Oil2EokU3tWpID9,0036mmNusffWovpIGN,,71taZWt3ojFBqZHATH,01sLoYtuPuiAhJSKZN,,0036mmNusffWovpIGN
801jzZaUf6o692HYZ8,ORD-000000013,Cancelled,2023-05-26,2026-05-25,New,6981 Lam Field,Northhaven,CA,22924,United States,676 Armstrong Ramp,Summit Glen,NC,95636,United States,USD,Synthetic order for test and benchmark use.,2023-04-09T15:29:54Z,825837.37,0014BI0PTpGJAb4ICJ,003ako1JRaHiv3YI66,800nEzeWjRDTX6SYUM,006i4xVpYvfU5aYY8O,01sf902KvuoXgXtOGX,,003KTlnkKDUBqWVAAT
801AaLV3HZW5HpoA4A,ORD-000000014,Cancelled,2024-11-22,2027-11-22,New,44369 Marshall Mills,Cedar Crossing,OR,82730,United States,95296 Manuel Causeway,Willow Harbor,MA,74321,United States,USD,Synthetic order for test and benchmark use.,2024-10-14T00:57:42Z,960566.3,0011y3R0qW4167MAMP,003XijlXXYNtjjrAZG,,006CviPdHhKL0aMIBR,01sQ4LtuJF9K1vlMFT,,003dhEq28R9SWrsYJD
801lSrj6U0wOe8cA6U,ORD-000000015,Fulfilled,2024-02-22,2027-02-21,Renewal,7632 Patricia Wall,Northhaven,TX,32305,United States,3454 Mcgee Inlet,Northhaven,CA,43615,United States,USD,Synthetic order for test and benchmark use.,2024-02-01T18:06:44Z,1587806.42,001PygtS3FHgKj8Q8G,003NxsyUn0x5nr3AFS,800c9qdaxhRxiaJQM0,,01sLoYtuPuiAhJSKZN,,0031Zvig8Nwe5gjY3U
8010ooJEs2Vby8sQT3,ORD-000000016,Draft,2025-10-31,2026-10-31,Amendment,734 Jones Heights,Willow Harbor,TX,14455,United States,586 Catherine Neck,Lake Briar,CA,43575,United States,USD,Synthetic order for test and benchmark use.,2025-09-11T12:38:36Z,215925.51,001yvWhfz01vDWFY3M,003i7gno1I8wRe1YWE,,720ny8nFJHudrPnARO,01sLoYtuPuiAhJSKZN,,003vxHLuLpe3BlRIW4
801bQjX6pLWM5I5IKA,ORD-000000017,Draft,2023-03-12,2025-03-11,New,8893 Robinson Mews,Lake Briar,TX,66185,United States,5579 Michele Crossroad,Lake Briar,CA,90494,United States,USD,Synthetic order for test and benchmark use.,2023-02-01T09:29:02Z,375575.77,001Pv3IESUoMrhiAAG,0030bBuhufDcozbAA3,,006mPenP4B930oZY5R,01sLoYtuPuiAhJSKZN,,003mNOtye7GOV0vI6M
001I8it5OcsqKKxQBX,ORD-000000018,Activated,2025-01-06,2028-01-06,Amendment,5564 King Common,Summit Glen,OR,75668,United States,963 Aguilar Road,Lake Briar,TX,98072,United States,USD,Synthetic order for test and benchmark use.,2024-12-01T13:24:03Z,966379.53,001Ql5gfswhLAUiIZH,,,006HWQRJdI9WoaxQYW,01sQ4LtuJF9K1vlMFT,0Q0qpJxFTEbnPZlKDX,003luLZYr3inoErACO
801uepbTPcAO9NYY17,ORD-000000019,Draft,2023-11-06,2024-11-05,Renewal,99124 Beth Inlet,Lake Briar,WA,98487,United States,62203 Kyle Highway,Northhaven,OR,97281,United States,USD,Synthetic order for test and benchmark use.,2023-10-17T11:24:34Z,887585.79,001OH94vlTF3MI8Y08,003buvmdP5A3RUCAAL,8008VR87WA8PEdGIS6,810a0t8k1FUXv1cI0V,01sLoYtuPuiAhJSKZN,,003HPb1tGdryWM6YKT
000UeqSFfBaiXeSIXY,ORD-000000020,Fulfilled,2021-05-26,2023-05-26,Renewal,7262 Gilbert Plain,Alder Bay,OR,36041,United States,1743 Kevin Ville,Northhaven,CA,52339,United States,USD,Synthetic order for test and benchmark use.,2021-05-22T09:41:42Z,39041.39,001R4mUDXDD6VZPI0I,003sRiiIXTJElH8ILC,,006aiNX03nrdnqiIMA,01sQ4LtuJF9K1vlMFT,,
52iY0EY8x9pR4n7Y5H,ORD-000000021,Fulfilled,2025-07-23,2028-07-22,Renewal,313 Freeman Trace,Northhaven,MA,11710,United States,33030 James Lodge,Summit Glen,OR,44846,United States,USD,Synthetic order for test and benchmark use.,2025-05-25T08:58:49Z,2300134.65,0019ojrY0cvCQ2UQ6L,0033VgRWoDPXOFpQ0C,,810AfXY7CkI2OtTAKH,01sLoYtuPuiAhJSKZN,,003EITgQp4xDjA6IV9
801M8VptTkMhSPoI7K,ORD-000000022,Draft,2023-04-10,2025-04-09,Renewal,3135 Julia Track,Northhaven,WA,39024,United States,472 Anthony Groves,Cedar Crossing,TX,66535,United States,USD,Synthetic order for test and benchmark use.,2023-02-15T11:13:58Z,2836949.3,001vXGsLaTZksTjQHC,003EGUHqPYObg5zQF1,,00toCCSiPvzOx02AL7,01sf902KvuoXgXtOGX,,003M4XLkZ8lJp7OY05
80127OPWhoeGxYOQAM,ORD-000000023,Draft,2024-12-26,2026-12-26,Renewal,477 Peterson Center,Willow Harbor,OR,47250,United States,240 Ward Plains,Northhaven,MA,49486,United States,USD,Synthetic order for test and benchmark use.,2024-11-14T08:59:12Z,1385896.7,001tvKQbYklnB9tY2P,0035XXulAeWBcYeIKT,,006kvwdfIVI9fRdA9N,01sf902KvuoXgXtOGX,,003NY4p4a4XHJvOQAQ
701h6WB6JMkKORFIEG,ORD-000000024,Cancelled,2022-01-16,2024-01-16,New,9649 Chelsea Streets,Lake Briar,WA,93860,United States,21211 David Mount,Alder Bay,TX,82390,United States,USD,Synthetic order for test and benchmark use.,2022-01-06T04:54:40Z,388377.15,0012B0IsTb8G7BVAST,003xHlcAk72CIMoQTZ,,006nJcY7QX4evvNIVR,01sQ4LtuJF9K1vlMFT,,003rfuHfs51RYULQIE
801bjkUeR85YP3gA7H,ORD-000000025,Cancelled,2025-12-13,2026-12-13,New,24210 Laura Ranch,Northhaven,WA,81293,United States,1712 Douglas Park,Cedar Crossing,NC,36528,United States,USD,Synthetic order for test and benchmark use.,2025-11-19T01:41:36Z,1185460.93,001Y7WfxpecwwzUQ8R,003mjuXxIT09fGrAAO,,006FAqMhkGUPiYaY9D,01sQ4LtuJF9K1vlMFT,,003mjuXxIT09fGrAAO
801GmfGvxiOOPXiACP,ORD-000000026,Cancelled,2026-05-11,2029-05-10,New,96717 Ortiz Islands,Lake Briar,OR,56534,United States,48878 Smith Mountain,Northhaven,WA,74625,United States,USD,Synthetic order for test and benchmark use.,2026-04-26T03:57:55Z,1229987.22,001j6nRokzRlCs1Y07,00349RXX5ryqLh0IU2,,80idHfxld1aKE4xQ8M,01sf902KvuoXgXtOGX,,0037hhldh7dgr24A9I
801DFvq9yv7IEFeI0H,ORD-000000027,Cancelled,2024-01-20,2025-01-19,New,34824 Gilmore Oval,Northhaven,OR,50241,United States,25920 Miller Locks,Willow Harbor,NC,54219,United States,USD,Synthetic order for test and benchmark use.,2024-01-07T16:14:27Z,1281132.56,001kBV5ho7M1GOwA4E,003s8MYKvLvCt3ZAN8,800BsjYCuFtC0bqQNB,006MgQnB3hrVK2oYP0,01sQ4LtuJF9K1vlMFT,,003yFJa6PAPJltMY99
51t3wh0xqrmcVhtYX8,ORD-000000028,Fulfilled,2025-07-21,2026-07-21,New,821 Barton Walk,Willow Harbor,NC,98743,United States,420 Bennett Isle,Summit Glen,TX,71019,United States,USD,Synthetic order for test and benchmark use.,2025-07-05T16:32:08Z,1124193.5,001TOsnOw1hho3AAGT,003IoCtpdAf1sHyQPE,,006S3g4gCkOZWiLAUR,01sf902KvuoXgXtOGX,,003IoCtpdAf1sHyQPE
51tM5ryNTWZu5YKICY,ORD-000000029,Cancelled,2023-09-04,2026-09-03,New,6627 David Ramp,Alder Bay,MA,65559,United States,15481 Medina Ways,Cedar Crossing,CO,34142,United States,USD,Synthetic order for test and benchmark use.,2023-08-09T08:26:57Z,1957757.95,001ZX951OeRh6EHIOJ,003507nviaq9YjZANF,,82iagHzkTkAOFAFI1V,01sLoYtuPuiAhJSKZN,,0031mTVRNXQYf2KQP9
801SQyX9vLI0hTVAJO,ORD-000000030,Activated,2021-05-19,2023-05-19,Renewal,3161 Scott Square,Summit Glen,NC,42001,United States,3585 Little Haven,Lake Briar,TX,55669,United States,USD,Synthetic order for test and benchmark use.,2021-03-24T16:03:50Z,2917676.04,001DmIO5EqT4tawY4D,003cDJscbZK0JtHQIR,800ESyb1zwBgH3yY7X,526oIi4wwv9ub5TYYU,01sJqGPflRJqwqCPRW,,003cDJscbZK0JtHQIR
801NR7iz29PJWpMAC4,ORD-000000031,Draft,2026-07-17,2029-07-16,New,7407 Byrd Estate,Lake Briar,CO,28573,United States,314 Pace Port,Summit Glen,CO,87740,United States,USD,Synthetic order for test and benchmark use.,2026-06-01T19:54:27Z,769742.22,001yGC8xttQVvNRYNT,003SxML7rauaYULISE,,00isjDp7DggNzxqQ1K,01sQ4LtuJF9K1vlMFT,,0031VD9UKg8CI6sQCH
70t7NdXMV2HTdcTY92,ORD-000000032,Activated,2023-09-23,2026-09-22,Amendment,097 Parsons Forks,Northhaven,OR,11369,United States,3285 Amy Field,Summit Glen,CA,67298,United States,USD,Synthetic order for test and benchmark use.,2023-07-25T17:49:20Z,1263783.85,001HgM5pPhwEa9BAOB,003TlrLp629bh61ACC,,006y2sZomStbAjEI3Q,01sQ4LtuJF9K1vlMFT,,003TlrLp629bh61ACC
8014BProAMkS5GJAU1,ORD-000000033,Fulfilled,2025-01-05,2027-01-05,Renewal,4517 Donald Fork,Alder Bay,NC,54341,United States,389 Nunez Ford,Northhaven,CA,48020,United States,USD,Synthetic order for test and benchmark use.,2024-11-12T00:38:14Z,313154.78,00144eZON6YVcQJIGY,003LtDyRa7YYs9EYDK,,500bA9JabGkX7DOYLZ,01sQ4LtuJF9K1vlMFT,,003P8SIJnQgB7lmILI
511qzmAzIJTfrsIQWH,ORD-000000034,Cancelled,2026-03-15,2028-03-14,Amendment,4612 Sophia Hollow,Summit Glen,WA,95744,United States,921 Michael Ferry,Summit Glen,MA,69831,United States,USD,Synthetic order for test and benchmark use.,2026-02-15T09:40:51Z,2551807.3,001j6nRokzRlCs1Y07,003USnXTdtUYl4AI7N,,00662VA0cXhGFEFQRV,01sLoYtuPuiAhJSKZN,,00349RXX5ryqLh0IU2
801eYvZSVB6lJXfQ9C,ORD-000000035,Draft,2023-07-01,2026-06-30,New,3171 Darlene Ranch,Summit Glen,OR,78572,United States,279 Huber Crescent,Northhaven,TX,54075,United States,USD,Synthetic order for test and benchmark use.,2023-06-16T00:13:02Z,638402.84,0011qafIoKOaGWeA3A,003WOfZHVkwetIOQFH,,006Yu8cGnL42jpzIAY,01sLoYtuPuiAhJSKZN,2Q7BsEzLxPzbQK7VCG,003y9SsEVdR3VdTAKG
801iuhQZ7SQ58dZYHX,ORD-000000036,Fulfilled,2021-05-14,2024-05-13,Renewal,95024 David Manor,Alder Bay,MA,16199,United States,9899 Matthew Fork,Alder Bay,MA,95067,United States,USD,Synthetic order for test and benchmark use.,2021-03-26T06:37:03Z,2096343.6,001E8sva5lyIcGMIKX,003qUFiLV5JK3fZQ5Q,,006tqZWnOum7PAJYX6,01sf902KvuoXgXtOGX,,003TIkLDqdlv0iTQ35
8019xEeVELQqqHrAYA,ORD-000000037,Draft,2026-08-20,2028-08-19,Renewal,985 Vang Pines,Lake Briar,TX,87742,United States,748 Jennings Vista,Northhaven,MA,80430,United States,USD,Synthetic order for test and benchmark use.,2026-06-26T02:59:47Z,71986.35,001Dr3VLTdygyPzIUT,003ZfzudGNIIQ3mYTT,,006m9turukOLStrIV3,01sLoYtuPuiAhJSKZN,,003hKMp9wdFG2xEAJ8
826alsYRNxqrb8TQT3,ORD-000000038,Fulfilled,2022-03-28,2023-03-28,Renewal,098 Santiago Loop,Willow Harbor,MA,84431,United States,286 Mark Extension,Lake Briar,WA,75860,United States,USD,Synthetic order for test and benchmark use.,2022-03-05T01:35:27Z,1416269.93,001b1XyoVMftFmnY3Z,003INnMnBh04sdGY8O,,00iqIKwdqI55cMpA5R,01sQ4LtuJF9K1vlMFT,,003y0u0DytJUnZuQ7T
801z7SDVl3xRuAgI13,ORD-000000039,Draft,2025-05-02,2028-05-01,New,4550 Molly Port,Summit Glen,WA,58485,United States,983 Mark Inlet,Lake Briar,NC,65830,United States,USD,Synthetic order for test and benchmark use.,2025-03-22T22:51:24Z,2566899.07,0014WYoiYbOMlUgQDX,003PIsnfE5YQMdlYVF,,006aSHPcPh3QQb5ABZ,01sQ4LtuJF9K1vlMFT,0Q0gILG8miecLXHC40,003aOYRJR4o2kcUANS
801D3DeMAoddhn6IDX,ORD-000000040,Draft,2022-07-08,2025-07-07,Renewal,156 Justin Springs,Summit Glen,TX,90295,United States,530 Hughes Court,Northhaven,NC,13403,United States,USD,Synthetic order for test and benchmark use.,2022-07-04T03:47:53Z,2623666.57,001BJaRoad36sorI41,,,,01sQ4LtuJF9K1vlMFT,,
71679mxPtua95V1Q1P,ORD-000000041,Draft,2023-10-28,2025-10-27,New,1596 Mckinney Mall,Northhaven,CA,42576,United States,103 Ellison Hollow,Lake Briar,TX,35234,United States,USD,Synthetic order for test and benchmark use.,2023-09-26T12:14:06Z,1234264.43,001wOS4RTezb6AxY4U,003xxlGV9jlpBgRAMR,,0061qThIuslKrF7IVW,01sf902KvuoXgXtOGX,,
801c47gZXmga2DpIIT,ORD-000000042,Fulfilled,2025-06-04,2028-06-03,Renewal,88355 Joel Drive,Summit Glen,WA,95804,United States,21905 Jason Roads,Cedar Crossing,CA,74682,United States,USD,Synthetic order for test and benchmark use.,2025-05-16T06:55:52Z,2223743.8,001tvKQbYklnB9tY2P,00314CUCIG5RktyYHD,,72ieRpFxOglko7jQAZ,01sLoYtuPuiAhJSKZN,0Q0OcJx34v244XYC9D,0039D7aXvRQGJqiITC
801J3RuqW1IzAZJINF,ORD-000000043,Draft,2021-09-14,2023-09-14,Amendment,0054 Deanna Walk,Lake Briar,CO,80919,United States,24553 Gabriel Village,Summit Glen,CO,95675,United States,USD,Synthetic order for test and benchmark use.,2021-08-12T23:31:35Z,1902689.7,001x4qMeufUWlfdINO,003zATlhm9CTfgLILK,,01iEa511wLJYEKAAFG,01sQ4LtuJF9K1vlMFT,,003zATlhm9CTfgLILK
801klhsYWLGYKbzQ3G,ORD-000000044,Cancelled,2025-03-04,2026-03-04,Amendment,255 Hughes Trail,Lake Briar,MA,12232,United States,425 Jennifer Island,Willow Harbor,MA,74805,United States,USD,Synthetic order for test and benchmark use.,2025-02-09T05:48:29Z,1086075.53,001qP46mGWsPnuOQ5R,0032Dq1RpC8fn19A4A,,500omxYi0hTQz5nAHP,01sLoYtuPuiAhJSKZN,,003JnvgUqZO7H4aIRV
801Z9TcbUesAWUNI2Q,ORD-000000045,Cancelled,2023-06-11,2026-06-10,New,2816 Smith Inlet,Willow Harbor,TX,44644,United States,3524 Russo Street,Lake Briar,NC,53482,United States,USD,Synthetic order for test and benchmark use.,2023-05-19T17:08:24Z,2679022.2,001M2rDfuFzN9SZI6R,,,800QbKDcVxtNcdnI6F,01sf902KvuoXgXtOGX,0Q0AH6FwWhsr7q4KRZ,0033MLwhB5do4U0ITM
801OydXCKmMFtgWAXJ,ORD-000000046,Cancelled,2026-05-16,2028-05-15,Amendment,379 Goodwin Tunnel,Lake Briar,MA,22708,United States,926 William Parkways,Northhaven,WA,41515,United States,USD,Synthetic order for test and benchmark use.,2026-05-05T19:30:05Z,204479.04,001JM45YOxOPMdeQIO,003UMEcKvJcUgurQ6P,800ujrIuY2oupF3QN0,521frQ5k77mkPylINK,01sQ4LtuJF9K1vlMFT,0Q03I2URNaQKyERKZ0,003AqyY2IfcYiBkQLX
801aib6wP7dQMd5AA2,ORD-000000047,Cancelled,2022-08-06,2025-08-05,Amendment,47826 Stacey Forges,Lake Briar,WA,66778,United States,378 Craig Port,Alder Bay,WA,81377,United States,USD,Synthetic order for test and benchmark use.,2022-06-20T14:01:16Z,1016746.53,001OPCPaC5KbkUKAXY,003bdNCgMfa7CoaYN8,,,01sLoYtuPuiAhJSKZN,,003bdNCgMfa7CoaYN8
80t1y5KcGnO2EaIAMP,ORD-000000048,Cancelled,2021-06-30,2024-06-29,Amendment,89861 Young Crossing,Cedar Crossing,WA,13593,United States,4509 Hannah Creek,Cedar Crossing,OR,50013,United States,USD,Synthetic order for test and benchmark use.,2021-06-25T06:37:40Z,2496638.82,001XFpYyxD2bjtqY54,003yKvQsyYokdltYAS,,006KvgqOCDEtXcYI4R,01sQ4LtuJF9K1vlMFT,,003yKvQsyYokdltYAS
801pLl6HqkXxg03ATK,ORD-000000049,Cancelled,2022-03-02,2025-03-01,New,1888 Peter Mountains,Willow Harbor,MA,64790,United States,7595 Sonia Streets,Lake Briar,CO,17312,United States,USD,Synthetic order for test and benchmark use.,2022-02-20T06:18:42Z,1361272.43,0019ojrY0cvCQ2UQ6L,003m8THYf4oJQr4YY8,,70iGFDinNwlr4UmAGT,01sQ4LtuJF9K1vlMFT,,
801RZb7LSxWJcyeY19,ORD-000000050,Fulfilled,2025-01-03,2026-01-03,Amendment,0430 Nina Island,Summit Glen,OR,19115,United States,43672 Hendrix Cove,Summit Glen,NC,58186,United States,USD,Synthetic order for test and benchmark use.,2024-11-05T14:56:34Z,1903093.06,001UhwyHPMFM5liAM5,003wXaj6lOoSXpCQZM,,721T9noLs7XaVr3I9I,01sf902KvuoXgXtOGX,0Q0zw8FJP2ps1utCWE,00399IEKyDGSJm3QHD
801EqIYoyG1mzXuQFL,ORD-000000051,Draft,2026-06-15,2028-06-14,Renewal,284 Garcia Islands,Willow Harbor,TX,96094,United States,86693 Madeline Landing,Cedar Crossing,MA,36817,United States,USD,Synthetic order for test and benchmark use.,2026-06-05T22:55:11Z,304018.81,0018YzqdxvbgCoaYQU,003HyElyrwbdqT8QAZ,800IjjLhU5OjArOY3V,,01sJqGPflRJqwqCPRW,,003x0VepNyTEttzY7F
016pAqnBiB30yflYL1,ORD-000000052,Fulfilled,2021-09-02,2023-09-02,Amendment,55690 Erika Land,Willow Harbor,MA,99060,United States,551 Jennifer Canyon,Lake Briar,NC,96437,United States,USD,Synthetic order for test and benchmark use.,2021-07-28T11:11:47Z,1866239.51,001kC1LlUdj8c3zY68,003PyZ38dL1GKh6AD3,,700wA90FDeQiZ6wQI3,01sf902KvuoXgXtOGX,,003mlM94OfMe2d3AIU
801sLBexp9rtvq1Y0J,ORD-000000053,Cancelled,2021-03-21,2023-03-21,Amendment,3121 Thompson Station,Northhaven,CA,52922,United States,8969 Jason Garden,Cedar Crossing,WA,34673,United States,USD,Synthetic order for test and benchmark use.,2021-02-16T06:05:42Z,2548162.13,001WPEcjxhamiNXYYJ,003JWsXDkgeQfLNQQC,,006904ZHBTcEf99ANN,01sf902KvuoXgXtOGX,,003Mfp4ku7pOXLnYBE
801kcqECWoV2sYVIQS,ORD-000000054,Cancelled,2022-10-10,2025-10-09,New,7829 Cameron Locks,Northhaven,CO,84768,United States,028 Thomas Falls,Willow Harbor,OR,21810,United States,USD,Synthetic order for test and benchmark use.,2022-10-09T18:55:47Z,2187381.67,001Pv3IESUoMrhiAAG,0030bBuhufDcozbAA3,800oqsSwWdfbF7CY5U,006I1lRPeWsjOysYN7,01sQ4LtuJF9K1vlMFT,,003dsIJZJV6YL44ABX
8015J5QKkOAYiB1QTR,ORD-000000055,Fulfilled,2026-02-01,2029-01-31,Renewal,3584 John Roads,Northhaven,MA,24235,United States,58464 Theresa Crossing,Willow Harbor,TX,89046,United States,USD,Synthetic order for test and benchmark use.,2025-12-23T20:34:42Z,930076.3,001H8DiQNUTC9JGQA0,,,82iguBN6CwTjhOfY0A,01sf902KvuoXgXtOGX,,
50tu1pRoTxWpUqtA0N,ORD-000000056,Draft,2024-08-03,2027-08-03,Renewal,647 Haley Estate,Summit Glen,MA,44363,United States,4909 Glen Plain,Cedar Crossing,OR,43599,United States,USD,Synthetic order for test and benchmark use.,2024-06-23T11:31:53Z,2231826.84,0017jTx407RLO7NAVA,003eIncKFdeGkIsYBS,,006N7rXHgE2rv1zYQ4,01sf902KvuoXgXtOGX,0Q0MO0JHVuhUSXkSXG,003eIncKFdeGkIsYBS
72iZOrQJ4pSUvvwIYE,ORD-000000057,Draft,2024-12-27,2026-12-27,New,632 Peck Stravenue,Summit Glen,CO,83269,United States,0343 William Ford,Northhaven,NC,82749,United States,USD,Synthetic order for test and benchmark use.,2024-11-28T17:15:22Z,2997604.13,001iWJjSJhQ7PeuAR2,003FTdCX8an6rHoAK5,,006v3y5DCRHiklgQI1,01sf902KvuoXgXtOGX,,003XNoGMIPTvl16ANC
50tgaEnDPMNIFBPAAE,ORD-000000058,Activated,2026-02-11,2029-02-10,New,2456 Williams Center,Willow Harbor,NC,71505,United States,62542 Sandra Cliff,Summit Glen,MA,36419,United States,USD,Synthetic order for test and benchmark use.,2026-02-05T19:42:36Z,1875102.45,001b1XyoVMftFmnY3Z,003INnMnBh04sdGY8O,,006VxHY3176jKROAY4,01sf902KvuoXgXtOGX,,0035mim4JQleOckQS9
71tQ0iDRaur0hkJYJ7,ORD-000000059,Fulfilled,2023-08-08,2026-08-07,New,259 Martin Ridges,Summit Glen,CA,27856,United States,81097 Garcia Roads,Willow Harbor,MA,14408,United States,USD,Synthetic order for test and benchmark use.,2023-07-26T06:00:19Z,1551448.13,001BJaRoad36sorI41,,,7109fVIumfYROxoYBY,01sLoYtuPuiAhJSKZN,,
801dlLAEr0ozdvhY7W,ORD-000000060,Draft,2024-11-02,2025-11-02,Renewal,962 Anthony Squares,Willow Harbor,CO,67459,United States,326 Daniel Village,Summit Glen,CO,56615,United States,USD,Synthetic order for test and benchmark use.,2024-10-09T02:04:02Z,286541.01,001j6nRokzRlCs1Y07,003W4j2IQwOiUqBIH6,800bVWfsWKIfEfrI5F,720Uzbvln6QAcFJYPD,01sf902KvuoXgXtOGX,,
