Id,Name,Type,Status,StartDate,EndDate,Description,CreatedDate,IsActive,NumberSent,BudgetedCost,ActualCost,ExpectedRevenue,ParentId
701Lqm6F5Co3SCBI77,Casey Derek Leonard,Webinar,Completed,2022-06-14,2022-07-19,Synthetic campaign for market education and customer engagement.,2022-03-22T05:51:01Z,0,15943,72232.52,56991.17,203412.13,
7019g7m2YfxR5uxQ6M,Christine Jared Jones,Email,Completed,2026-01-01,2026-04-24,Synthetic campaign for market education and customer engagement.,2025-12-19T05:54:39Z,0,44617,90803.67,59770.11,159821.41,
701sbAyLwajaBknIUK,2025 Regional Workshop 15,Email,In Progress,2025-05-26,2025-11-04,Synthetic campaign for market education and customer engagement.,2025-04-06T21:35:08Z,1,42494,172903.1,128029.75,1042649.93,
701s2qORj9Q5274YHM,Melissa Sarah King,Email,Completed,2022-05-22,2022-07-15,Synthetic campaign for market education and customer engagement.,2022-05-06T12:20:34Z,0,12071,81499.81,69520.81,314022.99,
701PZcJHywDjQ7GY21,Rachel Julian Fleming,Webinar,Aborted,2023-02-13,2023-07-19,Synthetic campaign for market education and customer engagement.,2023-01-27T19:31:09Z,0,31494,202729.21,173474.58,1130514.62,
701vayAmZHYjPXpAWV,Mark Matthew Rasmussen,Webinar,Planned,2025-05-13,2025-08-25,Synthetic campaign for market education and customer engagement.,2025-04-04T07:27:31Z,1,34227,234995.29,278472.42,469276.4,701iu7etaRTqbMlANW
701baEWnGlBqdzhA9Z,2026 Regional Workshop 19,Email,Completed,2026-01-31,2026-06-15,Synthetic campaign for market education and customer engagement.,2025-12-10T23:25:51Z,0,17459,151665.66,161310.57,961504.09,
701GCHw920l26V2I77,Sara Ernest Diaz,Webinar,Planned,2024-12-10,2025-03-21,Synthetic campaign for market education and customer engagement.,2024-12-02T17:00:17Z,1,3466,181254.12,128330.06,567861.66,
701eYR0IxKvWggxING,Gene John Campbell,Webinar,Planned,2022-06-24,2022-08-20,Synthetic campaign for market education and customer engagement.,2022-03-31T03:43:09Z,1,47056,64622.16,52666.93,150406.42,
701N6uFobcPgkYOQHR,April Jacob Grant,Email,Planned,2026-04-28,2026-06-15,Synthetic campaign for market education and customer engagement.,2026-03-31T23:31:03Z,1,6560,2596.48,2564.76,19386.33,
701v6UAElZEXzGdAI1,Christopher Scott Hall,Workshop,Planned,2024-10-02,2025-03-17,Synthetic campaign for market education and customer engagement.,2024-09-09T00:54:47Z,1,23685,8854.55,6683.21,46038.5,
701HZkqvaYkvEU4AAJ,Lauren Scott Pittman,Email,Aborted,2021-05-09,2021-08-21,Synthetic campaign for market education and customer engagement.,2021-05-02T09:35:56Z,0,14004,64936.47,49823.01,141181.22,
701fkp1RoMk6AO1AXX,Jeffrey Robert Harrington,Conference,Aborted,2025-02-18,2025-04-10,Synthetic campaign for market education and customer engagement.,2025-01-18T10:07:07Z,0,34825,184988.49,149581.8,459696.4,701PvobyJwhiNxZY1C
701PnzYm01TO5qEICN,2026 Regional Workshop 26,Conference,Completed,2026-05-18,2026-11-01,Synthetic campaign for market education and customer engagement.,2026-03-27T12:26:24Z,0,15008,105634.45,93128.77,585367.78,701Y1pqcY2jefLaYDN
701R6fz0H7ZafwQI8S,Hannah Donald Garcia,Email,Planned,2024-09-16,2024-10-12,Synthetic campaign for market education and customer engagement.,2024-08-09T17:11:59Z,1,2853,168443.16,185614.08,512857.12,
701Dpaw66va6dUvYOQ,Melissa Sean Ramirez,Webinar,Aborted,2021-12-02,2022-03-23,Synthetic campaign for market education and customer engagement.,2021-10-04T08:36:32Z,0,10243,94977.66,83028.14,320178.69,
7017CM39bNZR7A7Q8R,Shane Jose Davis,Webinar,In Progress,2024-03-01,2024-08-27,Synthetic campaign for market education and customer engagement.,2023-12-19T14:33:11Z,1,33432,123805.75,96682.55,802773.06,
701JHaYdXRA67thQMW,Jenny Pamela Hooper,Workshop,Aborted,2026-03-08,2026-05-31,Synthetic campaign for market education and customer engagement.,2026-02-22T15:14:00Z,0,35245,15057.53,17549.57,74700.88,
701dYnYIqY2uFSNQNW,Richard Brandon Ray,Conference,In Progress,2024-11-06,2024-12-10,Synthetic campaign for market education and customer engagement.,2024-08-16T17:11:58Z,1,39667,183594.56,136377.51,1366990.72,
701QrvLj17YZ3rHQRL,Christopher James Thompson,Webinar,Aborted,2025-06-09,2025-09-04,Synthetic campaign for market education and customer engagement.,2025-04-15T17:25:44Z,0,16032,196734.2,207986.9,861121.46,
701aVdLHYNnMSttA9G,Holly Tracy Mason,Webinar,In Progress,2026-02-06,2026-04-13,Synthetic campaign for market education and customer engagement.,2025-11-28T18:34:53Z,1,5008,186411.84,143220.58,766753.62,
7010j7HiIFs5acMAA2,2023 Regional Workshop 34,Workshop,In Progress,2023-02-11,2023-08-06,Synthetic campaign for market education and customer engagement.,2023-01-15T09:48:43Z,1,41112,130435.92,124490.24,452004.62,
701gBvIFprDgdfxY18,Keith Gloria Cervantes,Webinar,In Progress,2025-10-17,2026-02-04,Synthetic campaign for market education and customer engagement.,2025-08-16T19:37:15Z,1,21424,126643.07,149381.55,995596.3,
701Da2XS0yWq2GQIB8,Lance Christopher Tran,Workshop,Aborted,2024-12-07,2025-04-06,Synthetic campaign for market education and customer engagement.,2024-11-27T19:36:57Z,0,20324,118845.4,77939.87,781506.6,
701VENsf4RdiXcPYUH,Justin Alyssa Monroe,Email,Completed,2024-04-15,2024-09-30,Synthetic campaign for market education and customer engagement.,2024-01-16T06:21:08Z,0,33331,139525.84,117049.74,936461.03,
701k0l45djHyWZsAS1,2022 Regional Workshop 38,Email,Aborted,2022-06-04,2022-09-13,Synthetic campaign for market education and customer engagement.,2022-03-26T06:00:36Z,0,12776,176187.08,207065.27,739600.12,
701h4U4oQAUQUQiIO5,Renee Kent Bowen,Email,Planned,2026-02-23,2026-03-30,Synthetic campaign for market education and customer engagement.,2025-12-16T23:54:20Z,1,10971,239085.58,272134.4,616810.04,701pfJwmBOK4mvZIF5
701zPCT7q7BesAmYT9,Kelly Crystal Jordan,Email,Aborted,2022-08-27,2022-10-14,Synthetic campaign for market education and customer engagement.,2022-08-14T15:10:30Z,0,41166,177439.35,155659.09,487309.82,
701DNuvDGEm4hghY4U,Suzanne Kayla Bryant,Email,Planned,2023-02-13,2023-03-11,Synthetic campaign for market education and customer engagement.,2022-12-06T19:01:27Z,1,5575,133529.08,128832.94,800822.81,
701AcNdUdlGkwlmYGW,Erica Kevin Fuller,Workshop,Planned,2023-04-27,2023-07-11,Synthetic campaign for market education and customer engagement.,2023-03-05T08:05:53Z,1,21318,28029.74,28167.29,87903.72,
701uy02vAEj9sQvINI,2024 Regional Workshop 43,Email,In Progress,2024-09-11,2024-11-04,Synthetic campaign for market education and customer engagement.,2024-06-14T10:03:36Z,1,35532,7187.49,5529.58,21955.24,
7017OD7USLqvwTSQ40,Krystal Tyler Baker,Workshop,Planned,2021-06-26,2021-11-17,Synthetic campaign for market education and customer engagement.,2021-06-13T03:39:25Z,1,13406,53797.68,57269.84,137394.37,7016JVvcTYMBRjjQNA
701AQ2IkwyckslOQQH,Derek Melissa Watson,Email,In Progress,2022-10-19,2023-01-29,Synthetic campaign for market education and customer engagement.,2022-10-06T17:31:08Z,1,16570,239794.34,165585.22,1689481.07,
7015l12jm3ayL0dIVG,2024 Regional Workshop 46,Webinar,In Progress,2024-08-25,2024-12-16,Synthetic campaign for market education and customer engagement.,2024-07-27T23:42:40Z,1,40412,115144.93,114056.57,776647.59,
7014xC7ldfv7uGYYZO,2025 Regional Workshop 47,Webinar,In Progress,2025-06-16,2025-11-02,Synthetic campaign for market education and customer engagement.,2025-05-06T20:13:26Z,1,49134,73524.71,62463.34,325843.07,
7013ji5fs9KRMNZIMZ,Jamie David Willis,Conference,In Progress,2022-08-26,2023-01-08,Synthetic campaign for market education and customer engagement.,2022-07-05T23:00:18Z,1,7546,215407.15,152838.24,1108640.8,
701Oiy0uiHpmTo7YI9,William Christopher Hayes,Workshop,Aborted,2024-10-24,2024-11-14,Synthetic campaign for market education and customer engagement.,2024-08-19T21:34:55Z,0,14626,189427.04,187828.96,644989.38,
701QvNzI8kZyr86YGN,Danny Tyler Jordan,Webinar,Planned,2026-07-22,2026-10-29,Synthetic campaign for market education and customer engagement.,2026-05-19T06:09:10Z,1,19107,84641.03,71060.47,590319.9,
701xpHq35ZSnJpBQKY,Brett Jasmine Burke,Workshop,Aborted,2026-03-21,2026-08-05,Synthetic campaign for market education and customer engagement.,2025-12-29T09:57:13Z,0,5170,32853.35,28246.85,98351.02,
701BP1P0a1hwEg9QVB,Alyssa Shannon Barnes,Email,Planned,2023-12-19,2024-05-14,Synthetic campaign for market education and customer engagement.,2023-11-04T09:30:20Z,1,23087,42102.6,43725.05,318649.9,
7019KuFdn10ijGjI2P,Randall Christian Smith,Webinar,Aborted,2024-01-21,2024-07-10,Synthetic campaign for market education and customer engagement.,2023-11-16T07:34:55Z,0,2989,95963.35,94378.69,247665.63,
701VLxxgWX6Q4sRACQ,2022 Regional Workshop 54,Email,In Progress,2022-03-05,2022-05-30,Synthetic campaign for market education and customer engagement.,2022-02-18T23:29:54Z,1,49977,41976.09,40704.7,154102.41,701AUP2DWX9vWyrQNF
701ij13ElUK36zHQ2S,Laurie Jennifer Collier,Webinar,Completed,2021-05-31,2021-09-16,Synthetic campaign for market education and customer engagement.,2021-03-29T08:41:26Z,0,3681,238495.38,234956.39,1546541.65,
701qGSJSbVRjjNMQYD,Charles Evelyn Marshall,Webinar,Completed,2021-02-12,2021-07-10,Synthetic campaign for market education and customer engagement.,2021-01-19T09:19:51Z,0,17041,122719.08,92674.65,324084.33,
701AUDOzK5kG0AQQW3,2021 Regional Workshop 57,Workshop,In Progress,2021-09-22,2021-12-11,Synthetic campaign for market education and customer engagement.,2021-07-22T07:57:50Z,1,30315,214849.38,194774.62,422795.53,
7014Mb0gQuVkT1cIP4,Angela Ronald Cole,Email,Completed,2025-04-08,2025-06-16,Synthetic campaign for market education and customer engagement.,2025-01-08T22:13:43Z,0,18478,45279.25,50735.25,341197.08,
7014u4F3TRrguRYASN,Deborah Christopher Rivera,Workshop,Planned,2025-04-22,2025-08-22,Synthetic campaign for market education and customer engagement.,2025-04-10T19:18:23Z,1,11028,129171.54,128814.97,237004.22,
701dvFZxXgmRnlIQM7,James James Moore,Webinar,Aborted,2025-01-04,2025-06-08,Synthetic campaign for market education and customer engagement.,2024-12-18T12:51:27Z,0,22115,129169.02,92658.5,890946.92,
701qSlEpW8tT5lJI6V,2023 Regional Workshop 61,Email,Aborted,2023-02-15,2023-07-30,Synthetic campaign for market education and customer engagement.,2022-11-29T06:12:02Z,0,39482,79952.36,62823.5,523354.58,
701b2KXlxLkodl3QU6,Rebecca Andrew Richardson,Conference,In Progress,2024-08-23,2024-09-19,Synthetic campaign for market education and customer engagement.,2024-06-09T05:51:02Z,1,16038,56680.54,48738.1,87184.31,701wT1CSqLaO8zTQ5F
701Ovn0zRu82vOpYLL,Randy Molly Young,Workshop,Completed,2022-11-25,2023-03-12,Synthetic campaign for market education and customer engagement.,2022-11-04T14:39:54Z,0,978,85657.81,92296.27,185678.24,
701i2j2Ro2oGSq7QE2,Mary Maria Carlson,Workshop,Planned,2021-03-30,2021-05-05,Synthetic campaign for market education and customer engagement.,2021-03-21T23:24:02Z,1,39215,188425.39,206119.25,1255552.99,
7017jaJGBUyVDFxICV,Allen Cody Cooper,Workshop,Planned,2025-12-30,2026-05-31,Synthetic campaign for market education and customer engagement.,2025-12-07T02:21:59Z,1,16757,240587.97,222857.8,518502.6,
701OLah01F81qKCQ4B,2023 Regional Workshop 66,Conference,Aborted,2023-11-28,2024-05-25,Synthetic campaign for market education and customer engagement.,2023-09-28T07:56:09Z,0,4478,66594.93,47914.47,269823.95,
701JAQrUVjwb0lkIRC,Benjamin Keith Mitchell,Webinar,Planned,2026-04-11,2026-09-12,Synthetic campaign for market education and customer engagement.,2026-02-16T01:58:13Z,1,41133,137114.6,102508.6,811541.43,7016JVvcTYMBRjjQNA
701316oqPXGTr5DIOR,Scott Laura Williams,Workshop,Aborted,2021-11-06,2022-03-14,Synthetic campaign for market education and customer engagement.,2021-08-10T19:46:47Z,0,22451,131520.72,139650.36,234431.83,
701k107VhYuBzs1I3B,Alyssa Brandi Edwards,Workshop,In Progress,2023-07-05,2023-10-03,Synthetic campaign for market education and customer engagement.,2023-05-05T02:42:17Z,1,45469,234106.84,193499.67,1523353.55,
701uraexvCqW5fzAQ5,Jenna Megan Vance,Conference,Completed,2022-08-13,2022-10-16,Synthetic campaign for market education and customer engagement.,2022-05-19T05:50:59Z,0,6433,6790.46,6813.74,26571.56,701PZcJHywDjQ7GY21
70119DkKdradggLYK9,2024 Regional Workshop 71,Email,In Progress,2024-09-24,2025-01-13,Synthetic campaign for market education and customer engagement.,2024-07-30T04:42:59Z,1,47208,243665.5,287773.79,1535569.11,
701623KY8ROVX35IU0,Charles Elizabeth Day,Conference,Completed,2021-03-11,2021-07-31,Synthetic campaign for market education and customer engagement.,2021-02-26T09:15:46Z,0,32645,175162.99,151309.39,766562.28,
701bmC3dSpPfuEkATE,Clarence Andrew Vargas,Workshop,In Progress,2025-05-18,2025-08-06,Synthetic campaign for market education and customer engagement.,2025-02-22T08:28:33Z,1,21706,32602.28,35933.01,56174.06,
701eowWimEsuBCoIO7,Catherine Caitlin Hensley,Webinar,In Progress,2024-07-13,2024-11-30,Synthetic campaign for market education and customer engagement.,2024-05-07T08:38:35Z,1,21387,173374.66,195565.11,1074388.35,701v6UAElZEXzGdAI1
701rMiZr5gPnYq4I3U,Steven Ashley Jimenez,Webinar,Planned,2023-03-29,2023-07-30,Synthetic campaign for market education and customer engagement.,2023-01-07T04:00:46Z,1,16467,126023.78,88837.71,758087.11,
701LVVOQQeQAPERQND,William Lori Bryan,Workshop,Planned,2024-06-18,2024-09-02,Synthetic campaign for market education and customer engagement.,2024-05-23T07:00:05Z,1,13917,125779.72,102575.57,593028.56,
701V0Ou8BzUByMnA19,Amanda Terri Wells,Workshop,Aborted,2022-08-05,2022-09-12,Synthetic campaign for market education and customer engagement.,2022-06-12T17:13:42Z,0,42433,54363.26,39282.89,105706.65,
701L7PbnIaoCL4kACA,Robert Blake Jenkins,Workshop,In Progress,2024-07-08,2024-10-11,Synthetic campaign for market education and customer engagement.,2024-04-29T15:15:44Z,1,8863,22918.87,22426.99,82387.1,
7012gLtQpc999YmQNW,Kellie Matthew Vaughn,Workshop,Aborted,2021-04-01,2021-05-05,Synthetic campaign for market education and customer engagement.,2021-01-20T07:27:31Z,0,37908,152686.46,118061.25,511940.37,
701C5GBKeBniO3YY7J,Brent James Little,Email,In Progress,2023-05-27,2023-07-09,Synthetic campaign for market education and customer engagement.,2023-05-07T09:20:57Z,1,45060,84431.34,83368.68,466268.59,
