Id,Name,QuoteNumber,Status,ExpirationDate,BillingStreet,BillingCity,BillingState,BillingPostalCode,BillingCountry,ShippingStreet,ShippingCity,ShippingState,ShippingPostalCode,ShippingCountry,CurrencyIsoCode,Description,CreatedDate,Subtotal,Discount,Tax,TotalPrice,GrandTotal,AccountId,ContractId,OpportunityId,Pricebook2Id
0Q0KbYAIA6lFxN90I3,Synthetic Quote 0000011,Q-00000011,In Review,2021-07-21,4016 Frank Point,Northhaven,CO,19795,United States,4533 Flores Station Suite 332,Northhaven,WA,62479,United States,USD,Synthetic commercial quote for CRM benchmark use.,2021-05-22T03:37:02Z,912475.8,0.0,45623.79,912475.8,958099.59,001LW8OXe6IEB5RAZR,,52tR0p53ylj7fAxAPB,01sLoYtuPuiAhJSKZN
0Q0I2URNaQKyERn0H6,Synthetic Quote 0000012,Q-00000012,Presented,2025-06-14,23808 Darrell Courts Suite 365,Summit Glen,MA,68089,United States,0929 Joanna Lock,Northhaven,WA,19951,United States,USD,Synthetic commercial quote for CRM benchmark use.,2025-03-16T11:50:57Z,1466013.22,15.0,124611.12,1246111.24,1370722.36,001u2iK4bExNbRFYPR,,,01sJqGPflRJqwqCPRW
0Q04kpfYCaSpkPHSNH,Synthetic Quote 0000013,Q-00000013,Accepted,2023-02-22,378 Bass Run,Alder Bay,CA,25006,United States,695 Jimmy Neck Apt. 679,Willow Harbor,TX,63824,United States,USD,Synthetic commercial quote for CRM benchmark use.,2023-01-23T05:34:45Z,512254.95,10.0,23051.47,461029.46,484080.93,0010jBSxx9cNJfJI6H,,516T1jyYjH3KRCII9F,01sf902KvuoXgXtOGX
0Q07Fc4xufJcwnWST7,Synthetic Quote 0000014,Q-00000014,Rejected,2023-02-07,4257 Phelps Pine Suite 448,Alder Bay,WA,22003,United States,6417 Ashley Tunnel Apt. 094,Lake Briar,NC,30643,United States,USD,Synthetic commercial quote for CRM benchmark use.,2022-11-09T06:42:51Z,1627624.59,5.0,77312.17,1546243.36,1623555.53,001I9h4vN2Mpc08I26,800QlpIV95QgNc1QMK,006XbSVM6Qu5YBiQFJ,01sf902KvuoXgXtOGX
0Q0nfx3VHYVQUojS9N,Synthetic Quote 0000015,Q-00000015,Draft,2026-09-21,508 Campbell Fork,Lake Briar,TX,77521,United States,5030 Lloyd Inlet Suite 819,Northhaven,NC,62245,United States,USD,Synthetic commercial quote for CRM benchmark use.,2026-06-23T16:47:33Z,1858574.73,0.0,0.0,1858574.73,1858574.73,001zOsseTV2G23QAKL,,006W5QzGEBHphMsQSX,01sQ4LtuJF9K1vlMFT
0Q0pnoTO4S28rgmCN5,Synthetic Quote 0000016,Q-00000016,Presented,2024-06-04,6098 Adams Walk Apt. 544,Willow Harbor,NC,65953,United States,14071 Hernandez Plains,Willow Harbor,TX,92316,United States,USD,Synthetic commercial quote for CRM benchmark use.,2024-03-06T22:53:48Z,1951096.51,5.0,0.0,1853541.68,1853541.68,001YbEX62vgcJCrQQH,,006gB9wvQnV0b9WIDU,01sQ4LtuJF9K1vlMFT
0Q0m8KCIKoA0B5LCO5,Synthetic Quote 0000017,Q-00000017,Accepted,2024-01-25,752 Julie Ways,Northhaven,CO,36778,United States,29979 Tyler Rest Suite 606,Alder Bay,NC,71104,United States,USD,Synthetic commercial quote for CRM benchmark use.,2023-12-26T12:17:25Z,865746.25,0.0,64930.97,865746.25,930677.22,001MPbzljMNLiv5QZV,800LlrQ7EpJv0H3AU5,71iX3qS4baYggv7AN6,01sQ4LtuJF9K1vlMFT
0Q0J3sSH3pdRRzBCFZ,Synthetic Quote 0000018,Q-00000018,Rejected,2022-08-21,6718 Marks Hills Apt. 974,Northhaven,OR,41929,United States,1255 Sutton Island,Summit Glen,MA,45053,United States,USD,Synthetic commercial quote for CRM benchmark use.,2022-06-22T23:01:09Z,2226416.06,5.0,158632.14,2115095.26,2273727.4,001zKmRfZNU4LdqIBJ,,006Aur0tlVRnqgSQFM,01sLoYtuPuiAhJSKZN
0Q0KfWeUQTo0pKA0PS,Synthetic Quote 0000019,Q-00000019,Presented,2021-10-21,161 Brad Flat,Northhaven,TX,29091,United States,881 Kelly Spring Suite 202,Northhaven,MA,43916,United States,USD,Synthetic commercial quote for CRM benchmark use.,2021-09-21T09:50:23Z,49853.55,5.0,0.0,47360.87,47360.87,001b9Ubd6IpdBJKANL,,821IrhP5JDNTKeQQ08,01sQ4LtuJF9K1vlMFT
0Q0zdclGNSutcnNSC4,Synthetic Quote 0000020,Q-00000020,Draft,2023-10-24,6981 Little Passage Suite 311,Northhaven,MA,35079,United States,2077 Carlos Springs,Summit Glen,TX,69414,United States,USD,Synthetic commercial quote for CRM benchmark use.,2023-09-24T09:44:20Z,1709071.92,5.0,81180.92,1623618.32,1704799.24,001aJFstC9yWgafQNG,800bBdb4IylBi9uIFG,,01sf902KvuoXgXtOGX
0Q09egFWWUs1FpVSI7,Synthetic Quote 0000021,Q-00000021,In Review,2023-11-06,832 Davila Common Apt. 665,Summit Glen,MA,64981,United States,272 Fuller Point Apt. 753,Summit Glen,NC,85736,United States,USD,Synthetic commercial quote for CRM benchmark use.,2023-10-07T10:37:43Z,1424503.96,0.0,106837.8,1424503.96,1531341.76,001nyKCWKQ4K1MEQBJ,800Ll8VSB6G4GsfQ93,006ZjnXTyzgUqNsYQQ,01sQ4LtuJF9K1vlMFT
0Q0sH30FaI1KM5WKW4,Synthetic Quote 0000022,Q-00000022,In Review,2025-03-01,99411 Oconnor Pike Suite 245,Northhaven,OR,48387,United States,138 Corey Brook,Northhaven,MA,42022,United States,USD,Synthetic commercial quote for CRM benchmark use.,2024-12-31T22:22:43Z,1110074.76,15.0,94356.36,943563.55,1037919.91,001O8ZWUKMYoipYYQ7,,006WszjSMO6G9CjA99,01sf902KvuoXgXtOGX
0Q0huuUNLya31HOCNW,Synthetic Quote 0000023,Q-00000023,Accepted,2021-06-22,31355 Baxter Cliffs Apt. 222,Northhaven,OR,80584,United States,6611 Wise Cape Suite 972,Willow Harbor,OR,52021,United States,USD,Synthetic commercial quote for CRM benchmark use.,2021-05-08T16:33:21Z,1578560.05,5.0,149963.21,1499632.05,1649595.26,0011erzQJKIYYG5AUC,,006WIBRSsOcAh4YA3G,01sf902KvuoXgXtOGX
0Q0Zdk04fYNKSSsKR1,Synthetic Quote 0000024,Q-00000024,Presented,2023-02-01,561 Hill Mountains,Willow Harbor,CO,24944,United States,4917 Kimberly Court,Lake Briar,WA,65159,United States,USD,Synthetic commercial quote for CRM benchmark use.,2023-01-02T11:19:09Z,536495.16,0.0,40237.14,536495.16,576732.3,001oPLQgL6DtzXuQJ9,,006NogwlUPEtFtDQKV,01sLoYtuPuiAhJSKZN
0Q0s2he4rCTYdowSW4,Synthetic Quote 0000025,Q-00000025,Presented,2023-05-26,762 Cody Shoals,Lake Briar,MA,50857,United States,699 Tiffany Corners Apt. 609,Lake Briar,MA,99696,United States,USD,Synthetic commercial quote for CRM benchmark use.,2023-04-11T09:55:34Z,2417164.76,10.0,217544.83,2175448.28,2392993.11,001LW8OXe6IEB5RAZR,,826Zu6vzs07Yg80AR2,01sQ4LtuJF9K1vlMFT
0Q0DEiOK8fAzTj6SEE,Synthetic Quote 0000026,Q-00000026,Rejected,2025-07-18,475 Dalton Greens,Summit Glen,CA,21049,United States,899 Crystal Valleys,Lake Briar,CA,84471,United States,USD,Synthetic commercial quote for CRM benchmark use.,2025-06-03T18:08:37Z,145110.65,0.0,10883.3,145110.65,155993.95,001oPLQgL6DtzXuQJ9,,506u0LsPANexmkqA6E,01sQ4LtuJF9K1vlMFT
0Q0tw0zbJe3oMjoST7,Synthetic Quote 0000027,Q-00000027,In Review,2023-11-07,46189 Stewart Cliff,Lake Briar,MA,54665,United States,7421 Martinez Villages,Cedar Crossing,CA,94549,United States,USD,Synthetic commercial quote for CRM benchmark use.,2023-09-08T11:10:29Z,2252975.28,10.0,202767.78,2027677.75,2230445.53,001iIp10CH2rdjrQCH,,0065QN8cBBDCpQCYJW,01sf902KvuoXgXtOGX
0Q0uPcnsIQRHCfTC91,Synthetic Quote 0000028,Q-00000028,Rejected,2021-10-29,45356 Bradley Estate,Willow Harbor,WA,98074,United States,17173 Eric Station Suite 658,Lake Briar,WA,49870,United States,USD,Synthetic commercial quote for CRM benchmark use.,2021-07-31T11:57:58Z,1458564.04,15.0,0.0,1239779.43,1239779.43,001qP46mGWsPnuOQ5R,800WGmMAqFXhoiTIUV,006lwvKYo99egSWY56,01sQ4LtuJF9K1vlMFT
0Q09S8aOOIUU4RrCHQ,Synthetic Quote 0000029,Q-00000029,Presented,2024-11-22,32317 Michelle Orchard,Summit Glen,OR,39366,United States,507 Cowan Mews Suite 512,Cedar Crossing,CO,16134,United States,USD,Synthetic commercial quote for CRM benchmark use.,2024-10-08T01:55:00Z,535010.08,5.0,50825.96,508259.58,559085.54,001AZHmNsDfQdrZQQD,,006XxKqy2Z2WptSYVC,01sf902KvuoXgXtOGX
0Q0Dswpzij7pPUB0KD,Synthetic Quote 0000030,Q-00000030,Rejected,2025-05-21,8322 Morgan Island Suite 440,Willow Harbor,CA,99173,United States,172 Jones Harbor Suite 797,Alder Bay,CA,53418,United States,USD,Synthetic commercial quote for CRM benchmark use.,2025-04-21T16:40:06Z,2433082.47,10.0,218977.42,2189774.22,2408751.64,001T48I5YauDsbqQZG,,706fB7PFHD0iA3dQG3,01sLoYtuPuiAhJSKZN
0Q0cjz9ylImsbZLK2G,Synthetic Quote 0000031,Q-00000031,Rejected,2022-04-16,28791 Allison Keys,Northhaven,MA,79775,United States,9016 Heather Roads,Lake Briar,NC,17454,United States,USD,Synthetic commercial quote for CRM benchmark use.,2022-03-17T06:07:39Z,1249953.49,15.0,79684.54,1062460.47,1142145.01,001kgFF0qALhnGGYD4,800kpf2eIHo94KVAPG,006d9dEmMyNLU3LYH9,01sQ4LtuJF9K1vlMFT
0Q0EQGtlyf4q1bjSMM,Synthetic Quote 0000032,Q-00000032,In Review,2022-08-27,56650 Darren Corner,Alder Bay,OR,79432,United States,9277 Daryl Squares,Willow Harbor,CA,62023,United States,USD,Synthetic commercial quote for CRM benchmark use.,2022-07-13T09:19:57Z,114342.71,0.0,0.0,114342.71,114342.71,001GbztdrMfr2gJYIG,,006cNnkix7us8rAIVI,01sLoYtuPuiAhJSKZN
0Q0SqSwIJpFphfF0SW,Synthetic Quote 0000033,Q-00000033,Accepted,2022-01-30,99652 Kelsey Row,Lake Briar,WA,16829,United States,082 Cooper Estates Apt. 337,Northhaven,NC,95522,United States,USD,Synthetic commercial quote for CRM benchmark use.,2021-12-01T18:32:57Z,1733914.18,0.0,130043.56,1733914.18,1863957.74,001j6nRokzRlCs1Y07,8007ObcJeKjfXoFI07,00662VA0cXhGFEFQRV,01sLoYtuPuiAhJSKZN
0Q0m475AnDZbF6Q03M,Synthetic Quote 0000034,Q-00000034,Draft,2022-09-30,415 Joel Village,Willow Harbor,TX,13324,United States,073 Brittany Trail Apt. 539,Lake Briar,NC,28828,United States,USD,Synthetic commercial quote for CRM benchmark use.,2022-07-02T06:16:15Z,643023.7,15.0,27328.51,546570.14,573898.65,0011y3R0qW4167MAMP,,006qUoAhHejrwEYAVO,01sf902KvuoXgXtOGX
0Q0PZCQbTEUY634SB3,Synthetic Quote 0000035,Q-00000035,Rejected,2022-11-13,750 Diana Parkways,Willow Harbor,WA,37992,United States,7896 Doyle Throughway Suite 120,Willow Harbor,WA,29339,United States,USD,Synthetic commercial quote for CRM benchmark use.,2022-09-29T00:04:17Z,2387809.28,0.0,119390.46,2387809.28,2507199.74,001G40EGKjt7p96I7T,,006ptlKteEjaZoiA7P,01sQ4LtuJF9K1vlMFT
0Q0bHnHis9cFB18CZO,Synthetic Quote 0000036,Q-00000036,Presented,2025-11-30,21767 Robert Springs,Northhaven,WA,41340,United States,90611 Richard Mission Apt. 368,Alder Bay,NC,90823,United States,USD,Synthetic commercial quote for CRM benchmark use.,2025-10-01T10:15:20Z,423329.79,15.0,35983.03,359830.32,395813.35,001ULTfosWQTQf5QW1,,00iwYN6pyW67tzxYUM,01sLoYtuPuiAhJSKZN
0Q0MGkeUYuEawN6K3A,Synthetic Quote 0000037,Q-00000037,Rejected,2022-11-20,369 Bishop Spurs Suite 246,Summit Glen,NC,29898,United States,6000 Andrew Plains,Northhaven,WA,42376,United States,USD,Synthetic commercial quote for CRM benchmark use.,2022-10-21T04:20:54Z,102525.61,0.0,10252.56,102525.61,112778.17,0012VwYreWt0DuEATR,,80iWtir5PL9VOk7QNC,01sLoYtuPuiAhJSKZN
0Q0IZPtpLlaHe4f08X,Synthetic Quote 0000038,Q-00000038,Presented,2026-01-18,168 Phillip Cape,Alder Bay,NC,12036,United States,85239 Randy Squares,Willow Harbor,CO,50937,United States,USD,Synthetic commercial quote for CRM benchmark use.,2025-12-19T11:35:15Z,351185.38,10.0,0.0,316066.84,316066.84,0014RvX7ofOXrw9I9V,,710QHOzzxyhjTfEIID,01sf902KvuoXgXtOGX
0Q0OOnGs9zyiwFn0BU,Synthetic Quote 0000039,Q-00000039,In Review,2026-02-24,075 Gomez Street,Willow Harbor,CA,42252,United States,782 Lisa Trace,Willow Harbor,NC,99962,United States,USD,Synthetic commercial quote for CRM benchmark use.,2025-12-26T15:47:48Z,1940118.62,5.0,138233.45,1843112.69,1981346.14,001EzVzzzPDO3QjIJG,,00670pdY4IyRJcsANP,01sLoYtuPuiAhJSKZN
0Q0xJcIYEjbKp2US6K,Synthetic Quote 0000040,Q-00000040,Rejected,2026-06-25,139 Farrell Dam Apt. 487,Summit Glen,MA,84776,United States,32238 Ortiz Cape Suite 587,Cedar Crossing,WA,33315,United States,USD,Synthetic commercial quote for CRM benchmark use.,2026-05-26T11:44:40Z,2052109.07,10.0,138517.36,1846898.16,1985415.52,001EocC12jSBhyyIOU,800UWmTFNBO8gEGA6V,026pLi5YaivbPOPQG6,01sQ4LtuJF9K1vlMFT
0Q0yIabzmYlP6BS0BT,Synthetic Quote 0000041,Q-00000041,Draft,2025-07-03,719 Michael Ridges,Northhaven,NC,54057,United States,99029 Proctor Vista,Northhaven,CA,11804,United States,USD,Synthetic commercial quote for CRM benchmark use.,2025-06-03T23:17:20Z,1460910.98,15.0,62088.72,1241774.33,1303863.05,0013e2Rh2QW4yB5YBM,800aawsTVoY6sIFIQ3,00ixs5i8iJUUoBHYRD,01sQ4LtuJF9K1vlMFT
0Q0kN5kK9klCYWiK3T,Synthetic Quote 0000042,Q-00000042,Accepted,2021-09-12,511 Phillips Grove,Cedar Crossing,OR,43944,United States,8161 Skinner Plain,Alder Bay,CO,51181,United States,USD,Synthetic commercial quote for CRM benchmark use.,2021-07-14T08:51:21Z,583079.9,15.0,37171.34,495617.91,532789.25,0018wiQDxKxpFvLYGU,,520tpdZF37z5lm2IER,01sLoYtuPuiAhJSKZN
0Q02TWMremL8JCW0C0,Synthetic Quote 0000043,Q-00000043,In Review,2024-04-28,0395 Richardson Spur Suite 641,Cedar Crossing,MA,82989,United States,6534 Hernandez Trafficway,Northhaven,OR,57974,United States,USD,Synthetic commercial quote for CRM benchmark use.,2024-03-29T22:20:05Z,2291881.59,0.0,0.0,2291881.59,2291881.59,001ZtdM0LykySWPIE4,,00i5NoS0FHkqTteQ5Q,01sLoYtuPuiAhJSKZN
0Q0fZBPx0zHJ3meKZT,Synthetic Quote 0000044,Q-00000044,Presented,2021-09-15,23979 Guerra Avenue Suite 611,Northhaven,TX,64839,United States,357 Jennifer View Suite 410,Willow Harbor,NC,74679,United States,USD,Synthetic commercial quote for CRM benchmark use.,2021-08-16T05:38:32Z,1638375.44,10.0,147453.79,1474537.9,1621991.69,001LW8OXe6IEB5RAZR,,52tR0p53ylj7fAxAPB,01sLoYtuPuiAhJSKZN
0Q0gMxod28zVGHHKSW,Synthetic Quote 0000045,Q-00000045,In Review,2022-03-09,584 Brian Turnpike,Cedar Crossing,NC,29513,United States,11011 Angela Stream,Lake Briar,WA,42410,United States,USD,Synthetic commercial quote for CRM benchmark use.,2022-01-08T04:16:52Z,2367671.98,5.0,224928.84,2249288.38,2474217.22,001pQgd6VQUyLMzAY1,,006l7f2kBpCZ7noI5Q,01sf902KvuoXgXtOGX
0Q0OVTgyZa7zmwf00G,Synthetic Quote 0000046,Q-00000046,Draft,2021-03-16,41406 Charles Tunnel Apt. 759,Alder Bay,OR,58692,United States,3435 Garcia Heights Suite 377,Northhaven,NC,44741,United States,USD,Synthetic commercial quote for CRM benchmark use.,2021-01-30T00:36:03Z,1853573.05,10.0,166821.58,1668215.75,1835037.33,001GikJVQQYFMgSI6M,800z269R6ifpeYRQJR,006f78C28OIfLG7Q38,01sQ4LtuJF9K1vlMFT
0Q0WKWkSKrXD6L8CUL,Synthetic Quote 0000047,Q-00000047,In Review,2026-01-18,0326 Thompson Vista Apt. 234,Cedar Crossing,OR,75163,United States,56697 Carroll Locks,Cedar Crossing,CA,74061,United States,USD,Synthetic commercial quote for CRM benchmark use.,2025-12-19T18:15:03Z,273977.93,0.0,20548.34,273977.93,294526.27,001AMEsWafm37CDYG9,,006PA4qWVvMsIU2AVV,01sf902KvuoXgXtOGX
0Q0LrFPjYj44cJT0OP,Synthetic Quote 0000048,Q-00000048,Accepted,2024-09-03,10235 Peter Divide Suite 056,Cedar Crossing,OR,37413,United States,7573 Steven Plaza Apt. 946,Alder Bay,CO,77376,United States,USD,Synthetic commercial quote for CRM benchmark use.,2024-07-20T01:38:26Z,979857.58,10.0,44093.59,881871.82,925965.41,001YrVA37VnfW7fIO3,,701gffawymfXeLpYMB,01sQ4LtuJF9K1vlMFT
0Q0HroLYtT91osqSP4,Synthetic Quote 0000049,Q-00000049,Rejected,2022-09-03,600 Danielle Heights,Lake Briar,MA,39471,United States,381 Wallace Harbors,Northhaven,NC,11997,United States,USD,Synthetic commercial quote for CRM benchmark use.,2022-07-05T19:18:54Z,1329829.46,15.0,84776.63,1130355.04,1215131.67,001b9Ubd6IpdBJKANL,,006Q10cwWo7txHUIAV,01sLoYtuPuiAhJSKZN
0Q0ZdYC8U8e7BMVSWD,Synthetic Quote 0000050,Q-00000050,Presented,2024-11-15,359 Brown Expressway Apt. 023,Willow Harbor,MA,72375,United States,95227 James Greens Suite 294,Northhaven,MA,60332,United States,USD,Synthetic commercial quote for CRM benchmark use.,2024-10-16T22:22:16Z,2390150.19,15.0,0.0,2031627.66,2031627.66,001F0saAL86T3h5IUF,,706mPS2KercmP4aQW9,01sLoYtuPuiAhJSKZN
0Q06d5Zmh7HL9vZCVL,Synthetic Quote 0000051,Q-00000051,Rejected,2022-07-28,316 Hensley Rapids Apt. 822,Alder Bay,NC,87712,United States,5817 Stephanie Trace,Summit Glen,CO,85560,United States,USD,Synthetic commercial quote for CRM benchmark use.,2022-06-13T09:05:46Z,99500.01,0.0,9950.0,99500.01,109450.01,0013e2Rh2QW4yB5YBM,,006U5BVHBNFR4khYAY,01sQ4LtuJF9K1vlMFT
0Q0MY1IfxVBXb09SY3,Synthetic Quote 0000052,Q-00000052,Draft,2025-08-06,29350 Watkins Crossing Apt. 448,Alder Bay,CO,88503,United States,44205 Bates Prairie Suite 078,Willow Harbor,TX,31449,United States,USD,Synthetic commercial quote for CRM benchmark use.,2025-06-22T18:20:34Z,2446378.37,10.0,0.0,2201740.53,2201740.53,001Oil2EokU3tWpID9,,71taZWt3ojFBqZHATH,01sLoYtuPuiAhJSKZN
0Q0o4wTFzqtit9OCP9,Synthetic Quote 0000053,Q-00000053,Rejected,2021-12-21,582 Hamilton Lock Apt. 393,Lake Briar,NC,15596,United States,185 Eric Walk Apt. 212,Willow Harbor,CA,30018,United States,USD,Synthetic commercial quote for CRM benchmark use.,2021-09-22T14:10:04Z,1675148.75,10.0,75381.69,1507633.88,1583015.57,0012n9SIy3FafTfYR5,,006BVEigoTGsIGqQBA,01sQ4LtuJF9K1vlMFT
0Q0wcGpg0JMIRXVC39,Synthetic Quote 0000054,Q-00000054,In Review,2024-08-01,515 Zimmerman Tunnel Apt. 316,Willow Harbor,OR,99472,United States,0031 Nicholas Drives Suite 333,Willow Harbor,OR,59208,United States,USD,Synthetic commercial quote for CRM benchmark use.,2024-07-02T10:55:40Z,1924351.66,0.0,192435.17,1924351.66,2116786.83,001X85qfzndbjPoIS1,,006TKuc6w3hFq6FYVL,01sf902KvuoXgXtOGX
0Q0BuoFsrKd55nzCFS,Synthetic Quote 0000055,Q-00000055,Presented,2023-04-12,5075 Hudson Hill Apt. 803,Cedar Crossing,NC,84953,United States,65033 Little Wall,Cedar Crossing,WA,74385,United States,USD,Synthetic commercial quote for CRM benchmark use.,2023-02-26T20:16:09Z,148935.04,0.0,14893.5,148935.04,163828.54,001ZtdM0LykySWPIE4,,00i5NoS0FHkqTteQ5Q,01sLoYtuPuiAhJSKZN
0Q0jRbV6zVPKKleC4Z,Synthetic Quote 0000056,Q-00000056,Rejected,2022-06-11,42248 Watson Mountains,Northhaven,TX,15517,United States,12652 Kelly Village Apt. 152,Alder Bay,TX,14609,United States,USD,Synthetic commercial quote for CRM benchmark use.,2022-05-12T23:18:39Z,2312764.12,0.0,173457.31,2312764.12,2486221.43,001zBr7D0amNm8PY72,,006SuDVGLO3qOvkI56,01sf902KvuoXgXtOGX
0Q0y0wn54qgGZ6mC1D,Synthetic Quote 0000057,Q-00000057,Presented,2024-08-31,02321 Crystal Underpass,Summit Glen,NC,84867,United States,0128 Bonilla Turnpike,Summit Glen,MA,20278,United States,USD,Synthetic commercial quote for CRM benchmark use.,2024-07-02T02:05:39Z,2490694.31,0.0,124534.72,2490694.31,2615229.03,001PFA4WC7yjw84AX1,,011JxfixcCLvwAjYHP,01sf902KvuoXgXtOGX
0Q0DZ5Aym0YuaV9SEN,Synthetic Quote 0000058,Q-00000058,Accepted,2025-03-25,71819 Jason Street,Cedar Crossing,MA,47103,United States,5733 Roy Keys Suite 779,Summit Glen,CO,76494,United States,USD,Synthetic commercial quote for CRM benchmark use.,2025-02-23T05:27:40Z,448908.67,15.0,38157.24,381572.37,419729.61,001CWFhyR8QJd16AFG,800wTbmUAaqNpsYAFZ,506lz24Tb5X9TnaY3R,01sQ4LtuJF9K1vlMFT
0Q0wCd0sQZHXIMMKIW,Synthetic Quote 0000059,Q-00000059,Accepted,2024-03-13,455 Keith Tunnel,Northhaven,MA,14125,United States,343 Holmes Ford Apt. 050,Northhaven,WA,68573,United States,USD,Synthetic commercial quote for CRM benchmark use.,2024-02-12T00:59:58Z,1907805.55,5.0,90620.76,1812415.27,1903036.03,001ZY5fWAv2Bxc1Q9C,,010iCgrKVEMzbs7YKK,01sQ4LtuJF9K1vlMFT
