Id,Name,AssetNumber,SerialNumber,Status,PurchaseDate,InstallDate,UsageEndDate,Description,CreatedDate,Quantity,Price,AccountId,ContactId,ParentId,Product2Id
02iC5rUe8CFFAVVY4C,Elastic Foundry Advisory Scale Vector Deployment,AST-0000018-738,SN-273572895,Shipped,2026-05-04,2026-05-25,2028-05-24,Synthetic entitlement for Elastic Foundry Advisory Scale Vector.,2026-04-05T11:20:12Z,25.0,135711.48,001Ekc6ysmrBHJMQF2,003RIbSywAcBkQUAOJ,02ieyW5s5fzvyFoAMC,01thwlljDEzVPFeIOR
02iR5sxUo51E977ABF,Modular Beacon Support Ultimate Cascade Deployment,AST-0000019-384,SN-524441071,Purchased,2025-11-08,2025-11-21,2028-11-20,Synthetic entitlement for Modular Beacon Support Ultimate Cascade.,2025-11-05T04:00:15Z,10.0,53957.6,001o5vm8lqkBKW6I3B,003CazuthmoYZmcAZN,,01tJkxkC77BNqpMI1D
02ijS88dCkAN7oHQDT,Open Pioneer Advisory Edge Nova Deployment,AST-0000020-856,SN-868267442,Shipped,2021-08-25,2021-09-23,2022-09-23,Synthetic entitlement for Open Pioneer Advisory Edge Nova.,2021-07-26T00:42:10Z,2.0,86236.33,001b6p7wMuocXZFIKR,003n7bCDQPRuiOLQ4T,,01tASbpFFJhJzjoAQP
02iA4xKalezivqHAG9,Quantum Harbor Training Foundation Zenith Deployment,AST-0000021-687,SN-919963214,Installed,2022-09-01,2022-09-14,2023-09-14,Synthetic entitlement for Quantum Harbor Training Foundation Zenith.,2022-07-29T18:32:40Z,2.0,38461.07,001HPdcdRz4xhIHI7A,003unNnhg4TgV1tAY1,,01t1WVbvQg0mCR8IQ5
02ihTGzvrPfFBTbQ3X,Unified Compass Hardware Scale Cobalt Deployment,AST-0000022-793,SN-857404442,Installed,2022-05-13,2022-05-13,2024-05-12,Synthetic entitlement for Unified Compass Hardware Scale Cobalt.,2022-04-14T10:11:04Z,10.0,129291.19,0011qafIoKOaGWeA3A,,,01tkl3rdZhto0MWIR8
02iERyEx0lJIgg4IJC,Virtual Summit Hardware Ultimate Nova Deployment,AST-0000023-542,SN-344695170,Shipped,2023-08-27,2023-08-27,2024-08-26,Synthetic entitlement for Virtual Summit Hardware Ultimate Nova.,2023-07-17T23:40:46Z,1.0,54015.31,001PUaO8FLbQ5tuY7R,003bBurZT3jFyReYX3,02iqKJrELzysmo7QK9,01t2EzMCSR6AFKDYFT
02icNJrjooDqU56QAD,Connected Lattice Advisory Essential Atlas Deployment,AST-0000024-833,SN-113998308,Installed,2024-09-19,2024-10-11,2026-10-11,Synthetic entitlement for Connected Lattice Advisory Essential Atlas.,2024-08-23T21:06:35Z,1.0,141916.06,,003ACPpJ6DQepVdYPY,,01tzg9LgIxoHoakYCC
02i6odKwsivRu48ASR,Elastic Ember Hardware Premier Horizon Deployment,AST-0000025-182,SN-935584375,Shipped,2023-11-30,2023-12-01,2025-11-30,Synthetic entitlement for Elastic Ember Hardware Premier Horizon.,2023-11-07T22:33:21Z,1.0,94584.76,001ZBID6zyXHdcLAAH,0031Q3Evc7Xc9rbQI3,,01tib3QpzkDJ5ZXY0G
02iG6QxuYZ36n7JYKG,Integrated Vertex Hardware Select Pulse Deployment,AST-0000026-827,SN-953466770,Installed,2023-07-03,2023-07-29,2026-07-28,Synthetic entitlement for Integrated Vertex Hardware Select Pulse.,2023-06-02T10:36:47Z,25.0,140876.66,001pUY9CVMaLCa4YQV,,,01tfpNseevgyHG4I4H
02ioaMGTKIrgIKRI54,Open Orbit Training Vertex Atlas Deployment,AST-0000027-741,SN-607329601,Installed,2021-05-17,2021-05-21,2024-05-20,Synthetic entitlement for Open Orbit Training Vertex Atlas.,2021-05-05T13:07:28Z,50.0,13099.23,001OR7GRtb417SOIE9,003A3eY9NsoTs0hACH,,01tmXTTChMUKc8lAZ9
02il4nTZodLEb6wI59,Quantum Foundry Support Essential Ion Deployment,AST-0000028-476,SN-293162936,Shipped,2021-04-09,2021-04-12,2022-04-12,Synthetic entitlement for Quantum Foundry Support Essential Ion.,2021-03-15T08:13:49Z,5.0,67662.67,001gn26KfjMg4ZII8J,003WEgjwl1vIvbnIIG,,01tXFPVYo6XqDczYVB
02iPFNA5wcoLyVGAL1,Unified Beacon Cloud Service Premier Solstice Deployment,AST-0000029-806,SN-630784027,Registered,2021-03-10,2021-03-20,2023-03-20,Synthetic entitlement for Unified Beacon Cloud Service Premier Solstice.,2021-01-11T05:56:04Z,1.0,134026.63,001Ivgehi2RhpxmIXK,003ZGqrnGM2bGAFY4D,,01tquqtjfoZD0qtA3P
02i0iVD53elzcVoY31,Virtual Pioneer Hardware Select Aurora Deployment,AST-0000030-577,SN-482015264,Installed,2021-03-19,2021-03-19,2024-03-18,Synthetic entitlement for Virtual Pioneer Hardware Select Aurora.,2021-02-05T21:37:47Z,5.0,51343.55,001BAfwqbwr0TsUA0T,0034zSxLgVmoVOHI64,,01t7NfeQ2lKQvYEI0O
02im0ltC5MU08cdA0O,Connected Harbor Advisory Core Meridian Deployment,AST-0000031-288,SN-701604249,Installed,2024-01-27,2024-01-27,2025-01-26,Synthetic entitlement for Connected Harbor Advisory Core Meridian.,2024-01-22T04:40:53Z,50.0,44889.86,001Ivgehi2RhpxmIXK,003ObY6T5K3DWQxAUR,02ii3nlInCEPejRQR1,01t7lGWe0GCEcFvQ4A
02idNJUdKSegBItIBH,Elastic Compass Data Platform Enterprise Vector Deployment,AST-0000032-251,SN-978882451,Registered,2021-07-22,2021-08-02,2023-08-02,Synthetic entitlement for Elastic Compass Data Platform Enterprise Vector.,2021-06-13T23:42:17Z,5.0,19644.8,001ViLIuvoOkEvIYR2,0033Qo4cfGxpEGdIZI,,01tXFPVYo6XqDczYVB
02iWDGZ0EDVSevBYL2,Integrated Summit Hardware Professional Cascade Deployment,AST-0000033-775,SN-453555941,Registered,2024-05-04,2024-05-20,2025-05-20,Synthetic entitlement for Integrated Summit Hardware Professional Cascade.,2024-03-23T02:26:06Z,10.0,8145.3,001b6p7wMuocXZFIKR,0030frhZtPJhLZwQAT,02iSyzZc3owmOwjA1C,01tMUwUxqegRhgXQCH
02i4cNUQMuj4uRiYIO,Open Lattice Support Standard Meridian Deployment,AST-0000034-349,SN-626725498,Installed,2024-07-09,2024-07-20,2027-07-20,Synthetic entitlement for Open Lattice Support Standard Meridian.,2024-06-26T21:03:03Z,1.0,72883.38,0011Ah4A4sWSLAjA4O,003SBA1qSIqBF8LQK1,,01tEaTYFbf62XyrIGE
02iZz5Kzgn4R8fiAF4,Quantum Ember Support Core Zenith Deployment,AST-0000035-528,SN-808656292,Purchased,2021-02-14,2021-03-13,2022-03-13,Synthetic entitlement for Quantum Ember Support Core Zenith.,2021-01-27T06:36:45Z,10.0,79282.01,,003iTmW3vNbCgffI76,,01tRE18SLT5MS5yAMK
02id2Z3BnIz98tBQDX,Rapid Vertex Training Enterprise Cobalt Deployment,AST-0000036-514,SN-165155622,Purchased,2023-02-08,2023-02-25,2026-02-24,Synthetic entitlement for Rapid Vertex Training Enterprise Cobalt.,2023-02-01T20:26:46Z,25.0,30975.3,001t1tQX1aEupiNQXE,003wXl7kXZ5nsO0YOX,,01tJCv6SzssB7KyQZG
02i9BVwjnXVsa4qYN5,Virtual Orbit Data Platform Professional Nova Deployment,AST-0000037-857,SN-227837344,Purchased,2025-06-02,2025-06-28,2028-06-27,Synthetic entitlement for Virtual Orbit Data Platform Professional Nova.,2025-04-18T10:05:54Z,50.0,77991.97,001sAtRqmoa84s0IBV,003vhSWjBZZjMpbYDN,,01tzXDuwSIeVNvXQKW
02iOjKK9es3MI6RQ3A,Connected Foundry Advisory Ultimate Zenith Deployment,AST-0000038-527,SN-941335318,Purchased,2025-12-17,2025-12-22,2026-12-22,Synthetic entitlement for Connected Foundry Advisory Ultimate Zenith.,2025-10-20T22:32:42Z,1.0,137891.07,001oowXHzEaXod1YS1,003JbQZCTdhKJ1wI38,,01tJJToWew3jl1jYQN
02iHmR0oEJR9CkEY31,Elastic Beacon Advisory Edge Horizon Deployment,AST-0000039-654,SN-316265870,Registered,2022-11-05,2022-11-22,2025-11-21,Synthetic entitlement for Elastic Beacon Advisory Edge Horizon.,2022-10-01T05:57:17Z,2.0,105532.26,001vXGsLaTZksTjQHC,003EGUHqPYObg5zQF1,,01t7hUvwBpp5PImQLG
02iaMnChNZfGxj9I0E,Integrated Pioneer Cloud Service Foundation Pulse Deployment,AST-0000040-453,SN-629139499,Installed,2025-01-25,2025-02-06,2027-02-06,Synthetic entitlement for Integrated Pioneer Cloud Service Foundation Pulse.,2025-01-09T21:13:44Z,50.0,140050.17,0018haifivYezP7QUH,0039KYBF4fXQiHuAF4,02iSyzZc3owmOwjA1C,
02iDvDZ3nqH8OLjAY6,Open Harbor Hardware Scale Atlas Deployment,AST-0000041-265,SN-977278788,Registered,2025-05-22,2025-06-14,2027-06-14,Synthetic entitlement for Open Harbor Hardware Scale Atlas.,2025-05-14T22:00:20Z,2.0,96849.87,001yU1qilS2HtnNQUW,003aHFhAFUFcM41YBE,,01tKASeQMf6eJe3A8K
02iykfMIsuqVkSqAV2,Quantum Compass Data Platform Ultimate Horizon Deployment,AST-0000042-360,SN-967191064,Purchased,2024-05-01,2024-05-31,2025-05-31,Synthetic entitlement for Quantum Compass Data Platform Ultimate Horizon.,2024-04-30T04:50:53Z,1.0,131931.16,001yGC8xttQVvNRYNT,0031VD9UKg8CI6sQCH,02iR5sxUo51E977ABF,01tPg5AmqfQP9ppYVX
02iSoCVFC09DpWIYQW,Rapid Summit Data Platform Edge Solstice Deployment,AST-0000043-591,SN-190208569,Purchased,2021-05-12,2021-06-02,2022-06-02,Synthetic entitlement for Rapid Summit Data Platform Edge Solstice.,2021-03-16T09:02:05Z,2.0,9704.49,001X50Bqc5cThUtYIX,003BiVuwQpdIloXY64,,01t2EzMCSR6AFKDYFT
02ivFfZtfpAjCpCIM7,Virtual Lattice Support Foundation Aurora Deployment,AST-0000044-130,SN-598558048,Purchased,2022-11-04,2022-11-24,2024-11-23,Synthetic entitlement for Virtual Lattice Support Foundation Aurora.,2022-10-04T22:49:40Z,2.0,123937.11,001LT9I3sxXG212YUI,003fKL1ajAUvZsZQGZ,,01tmXTTChMUKc8lAZ9
02iLV4hk5LUJ0X1QQL,Connected Ember Training Select Ion Deployment,AST-0000045-627,SN-200240561,Purchased,2022-03-03,2022-03-16,2025-03-15,Synthetic entitlement for Connected Ember Training Select Ion.,2022-01-12T04:21:21Z,1.0,28121.36,001yFWO67SRy3CKA0S,003VxLo3FH5P5RIAB7,,01tRmAU3fmNV1CqYPI
02iD45d03cTvQUyQGA,Dynamic Vertex Support Vertex Solstice Deployment,AST-0000046-536,SN-564515254,Purchased,2025-04-15,2025-05-01,2027-05-01,Synthetic entitlement for Dynamic Vertex Support Vertex Solstice.,2025-04-13T02:54:39Z,2.0,34839.36,001TgK7Trt797foQCB,0035IMKESbbHIf2QVT,,01tkl3rdZhto0MWIR8
02iywliS3db9LSPIV8,Integrated Orbit Hardware Essential Cascade Deployment,AST-0000047-294,SN-900622108,Purchased,2021-10-17,2021-11-11,2023-11-11,Synthetic entitlement for Integrated Orbit Hardware Essential Cascade.,2021-10-12T05:42:33Z,5.0,123544.02,001CWFhyR8QJd16AFG,003qdJCDN2CBfoKYM1,02iiy0f4ofGq3hXA97,01tJfY8BqOSVuBTQYL
02i26XHZEhfBUGzY2K,Open Foundry Training Premier Meridian Deployment,AST-0000048-306,SN-170834769,Shipped,2021-02-06,2021-03-05,2022-03-05,Synthetic entitlement for Open Foundry Training Premier Meridian.,2021-01-24T10:10:13Z,25.0,33261.48,001OphrQTgtGmAPIMC,003X8chf764IgBIA4W,,01tTnVkfEjkD1grILB
02i47Q4TFGAM0bLQGT,Quantum Beacon Cloud Service Select Vector Deployment,AST-0000049-592,SN-883860573,Registered,2023-01-18,2023-02-11,2025-02-10,Synthetic entitlement for Quantum Beacon Cloud Service Select Vector.,2022-12-14T06:25:45Z,25.0,23516.01,,003ZbZQM8O4y5KxAWK,,01tVDQv03vu3kAWAII
02i6xCffo3LQjFnI9Q,Rapid Pioneer Training Vertex Cascade Deployment,AST-0000050-767,SN-522931801,Installed,2021-07-05,2021-07-18,2024-07-17,Synthetic entitlement for Rapid Pioneer Training Vertex Cascade.,2021-05-08T09:50:49Z,10.0,93609.79,001JTximtecXZZ0IK7,003X4f6SR0QeptkAUS,,01t1YY42ogr623kA2T
02iZUKts4iFx13bQDX,Virtual Harbor Hardware Essential Nova Deployment,AST-0000051-636,SN-935362685,Purchased,2024-09-06,2024-09-15,2027-09-15,Synthetic entitlement for Virtual Harbor Hardware Essential Nova.,2024-08-17T00:33:45Z,2.0,100921.52,001MfuiALipgsrAIEL,00316suIFNRuCF5ARF,,01tTVbIpQ0ISm2pYRV
02iDaajAbngGE8gQQB,Connected Compass Training Professional Zenith Deployment,AST-0000052-253,SN-309974735,Installed,2023-08-27,2023-09-20,2026-09-19,Synthetic entitlement for Connected Compass Training Professional Zenith.,2023-07-31T14:55:47Z,25.0,123247.02,001Ivgehi2RhpxmIXK,003FAldOOXWMGCrI0H,,01tBjvDXiBQe05pQ6K
02i2K3U7r9CufyZQUK,Dynamic Summit Support Standard Cobalt Deployment,AST-0000053-215,SN-122694406,Purchased,2021-11-09,2021-12-08,2023-12-08,Synthetic entitlement for Dynamic Summit Support Standard Cobalt.,2021-11-07T16:59:30Z,5.0,63563.17,001h3qGmTCLTLLkQZJ,003cZ1PwW33yisTY2K,02ipqe7pEnO6XsBYNZ,01tFjJRl0Bl1V77YFI
02ijkRagLTY7k81Y4Q,Integrated Lattice Advisory Core Pulse Deployment,AST-0000054-359,SN-560864527,Purchased,2022-09-21,2022-09-21,2023-09-21,Synthetic entitlement for Integrated Lattice Advisory Core Pulse.,2022-08-11T12:09:57Z,5.0,56311.04,001RGWydjko0QMRY5C,003YfmhijlAUdUoAE1,,01tRmAU3fmNV1CqYPI
02isbxm5zl2bVwIIXW,Open Ember Advisory Enterprise Atlas Deployment,AST-0000055-871,SN-756467345,Registered,2022-12-19,2022-12-21,2024-12-20,Synthetic entitlement for Open Ember Advisory Enterprise Atlas.,2022-10-21T03:29:04Z,2.0,51576.45,001mr80ElRqK1bZQVC,003LyTtz99flO3DYZ3,02ijS88dCkAN7oHQDT,01tumnfMgDuHzp5IGE
02i9aMzrBbKMEA0IZP,Precision Vertex Support Professional Horizon Deployment,AST-0000056-809,SN-636849696,Installed,2021-07-04,2021-07-30,2023-07-30,Synthetic entitlement for Precision Vertex Support Professional Horizon.,2021-05-26T20:34:43Z,25.0,64301.72,001Z9FmqrbfBXeVI9A,003OlL6SECNDtLKYVE,,01tFpX2FRUqcRnqIM9
02ieVCuiigJsqtTAC1,Rapid Orbit Cloud Service Standard Pulse Deployment,AST-0000057-823,SN-270377511,Registered,2021-10-05,2021-11-01,2023-11-01,Synthetic entitlement for Rapid Orbit Cloud Service Standard Pulse.,2021-08-08T07:57:25Z,2.0,56337.68,0011Ah4A4sWSLAjA4O,003KMIv36mAkfsUY6C,,01tSN9ryyEsSczxIUK
02iD7tG9fZEXIs3IFS,Virtual Foundry Cloud Service Core Aurora Deployment,AST-0000058-504,SN-654494827,Purchased,2025-02-17,2025-02-18,2028-02-18,Synthetic entitlement for Virtual Foundry Cloud Service Core Aurora.,2025-02-05T07:54:04Z,5.0,23999.87,001Ivgehi2RhpxmIXK,003ObY6T5K3DWQxAUR,,01t7aWrLJOCiWZaA9Z
02i1I5CVAgXs2LtASO,Connected Beacon Data Platform Foundation Ion Deployment,AST-0000059-992,SN-175779561,Purchased,2024-05-09,2024-05-26,2025-05-26,Synthetic entitlement for Connected Beacon Data Platform Foundation Ion.,2024-05-01T00:16:06Z,2.0,89670.42,001PcZ9V15a5LqkQLE,003SuS97kgzeiZsYFR,,01tLLupYH2DWeh5IGW
02iMrEwbBXBmX6uAA8,Dynamic Pioneer Data Platform Scale Solstice Deployment,AST-0000060-831,SN-244900528,Registered,2025-08-10,2025-09-05,2026-09-05,Synthetic entitlement for Dynamic Pioneer Data Platform Scale Solstice.,2025-08-02T03:46:39Z,50.0,97019.9,001FUJDI7PYzDeCQBR,003PD4hVwHFGKiKQAW,,01tquqtjfoZD0qtA3P
02iOLasTL5HDJXoQTP,Integrated Harbor Data Platform Ultimate Aurora Deployment,AST-0000061-768,SN-886927897,Purchased,2023-08-17,2023-09-14,2024-09-13,Synthetic entitlement for Integrated Harbor Data Platform Ultimate Aurora.,2023-06-23T03:23:40Z,2.0,31804.04,001pTLwbTFSx0AVIHA,003GMInin0otKZgYVQ,,01tzS9ohU8JW5tuYDD
02idQzc0gbY6RjVIT9,Open Compass Support Edge Meridian Deployment,AST-0000062-748,SN-401535337,Purchased,2025-04-17,2025-04-27,2028-04-26,Synthetic entitlement for Open Compass Support Edge Meridian.,2025-03-29T10:46:26Z,5.0,137060.38,001CobSEZTi3dLCAGD,003kcsyj2Z2Oh2IQUI,,01t5ehc5TO9L51fAY8
02ikmS2SpTrdnsmIQX,Precision Summit Training Foundation Vector Deployment,AST-0000063-826,SN-568669625,Purchased,2023-07-17,2023-07-29,2024-07-28,Synthetic entitlement for Precision Summit Training Foundation Vector.,2023-06-04T01:44:19Z,5.0,4499.95,001Ivp9E6TmWQvuQ35,003VDpvTs8k4wU8Q5V,,
02i70e0otS4pwayYCN,Rapid Lattice Training Scale Cascade Deployment,AST-0000064-198,SN-477104624,Installed,2024-10-28,2024-11-22,2026-11-22,Synthetic entitlement for Rapid Lattice Training Scale Cascade.,2024-09-03T07:42:24Z,10.0,145810.36,001KLzOHTO9BbVjAXJ,003sZMUXdL7Us8BY75,,01tIDHvdLE9QNSjY85
02iTBVsSV4ZDxdwQW9,Virtual Ember Advisory Ultimate Meridian Deployment,AST-0000065-438,SN-674511769,Purchased,2021-11-30,2021-12-26,2024-12-25,Synthetic entitlement for Virtual Ember Advisory Ultimate Meridian.,2021-11-13T20:44:34Z,2.0,76409.59,001K8KFXGzOosWAASK,003PxCKvFkXxGxeA2X,,01tLFl0Q88j3GaOATF
02ieyz6R80eNjjNIXV,Adaptive Vertex Hardware Essential Zenith Deployment,AST-0000066-825,SN-195766209,Purchased,2026-01-14,2026-01-25,2029-01-24,Synthetic entitlement for Adaptive Vertex Hardware Essential Zenith.,2025-12-07T06:11:26Z,10.0,130057.63,001NRMSr13PD4ICIOI,003SsGIBufjqAdwY8V,02iC5rUe8CFFAVVY4C,01tK4wWzmqn0gSVI9U
02iGA0aMAooeZ43YGY,Dynamic Orbit Support Premier Cobalt Deployment,AST-0000067-494,SN-290172155,Installed,2021-12-28,2022-01-14,2024-01-14,Synthetic entitlement for Dynamic Orbit Support Premier Cobalt.,2021-12-14T14:58:24Z,1.0,5649.83,001OLdGcwV4anrfQXZ,003IRcIztJ57xyuADT,02ii3nlInCEPejRQR1,01thwlljDEzVPFeIOR
02iaLxAOn588AdwIQ7,Integrated Foundry Training Select Nova Deployment,AST-0000068-138,SN-159208256,Registered,2024-10-06,2024-10-08,2026-10-08,Synthetic entitlement for Integrated Foundry Training Select Nova.,2024-08-25T09:10:44Z,5.0,85701.22,0012lorIPC5zJvCYYX,003SD9eL8pHK3z8IX5,,01t7lGWe0GCEcFvQ4A
02iG0dbvlMht0JhIG8,Open Beacon Data Platform Vertex Zenith Deployment,AST-0000069-615,SN-631112428,Purchased,2022-06-24,2022-07-21,2025-07-20,Synthetic entitlement for Open Beacon Data Platform Vertex Zenith.,2022-06-16T15:36:01Z,2.0,86713.18,001LaewwyaBMECsIRO,003nGkRyMWyM2SMA66,,01tTnVkfEjkD1grILB
02iZHG5SWzojEgIYTW,Precision Pioneer Hardware Essential Horizon Deployment,AST-0000070-863,SN-127455928,Shipped,2025-04-08,2025-04-29,2028-04-28,Synthetic entitlement for Precision Pioneer Hardware Essential Horizon.,2025-02-10T14:47:45Z,1.0,81585.03,001XJBJ9looV3jVARS,003Y2cRuE4UwAjvQEK,,01tzg9LgIxoHoakYCC
02ig0htkpcnQn2zQN8,Rapid Harbor Cloud Service Premier Pulse Deployment,AST-0000071-800,SN-688086049,Shipped,2024-08-17,2024-08-20,2027-08-20,Synthetic entitlement for Rapid Harbor Cloud Service Premier Pulse.,2024-08-08T01:49:50Z,2.0,79790.44,001cnLEQk5pZMibQH2,003OeYdS2JreqvUACI,,01t9zr8VHPQu1LlI0K
02i4LyxZTcHFl9aQAQ,Virtual Compass Training Select Atlas Deployment,AST-0000072-303,SN-379084928,Installed,2024-07-06,2024-07-16,2027-07-16,Synthetic entitlement for Virtual Compass Training Select Atlas.,2024-07-04T02:25:23Z,10.0,88893.65,001d6L0YO7RdZlqYEZ,003I2WoSMJ9De4LAQW,,01tdhEbnzCx9gZmI0N
